protein_id	beg	end	prokka_function
PDPDEDFA_00086	2351	3626	hypothetical protein
PDPDEDFA_00087	3681	4998	hypothetical protein
PDPDEDFA_00088	5031	6075	hypothetical protein
PDPDEDFA_00089	6359	7457	hypothetical protein
PDPDEDFA_00090	7659	8853	hypothetical protein
PDPDEDFA_00091	325	1084	hypothetical protein
PDPDEDFA_00092	2447	3545	Vitamin B12-binding protein
PDPDEDFA_00093	4356	5481	putative oxidoreductase YjmC
PDPDEDFA_00094	5773	6883	Long-chain-alcohol dehydrogenase 1
PDPDEDFA_00095	6961	7594	hypothetical protein
PDPDEDFA_00096	7709	8414	hypothetical protein
PDPDEDFA_00097	8442	9030	Cob(I)yrinic acid a,c-diamide adenosyltransferase
PDPDEDFA_00098	9330	10254	Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
PDPDEDFA_00099	10254	11127	hypothetical protein
PDPDEDFA_00100	11274	12387	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
PDPDEDFA_00101	12690	13263	hypothetical protein
PDPDEDFA_00102	13347	13512	hypothetical protein
PDPDEDFA_00103	341	1133	2-amino-4, 5-dihydroxy-6-oxo-7-(phosphonooxy)heptanoate synthase
PDPDEDFA_00104	1160	2495	hypothetical protein
PDPDEDFA_00105	2509	4015	L-Rhamnulokinase
PDPDEDFA_00106	4199	5201	Methylthioribulose-1-phosphate dehydratase
PDPDEDFA_00107	5391	6198	hypothetical protein
PDPDEDFA_00108	6351	7182	hypothetical protein
PDPDEDFA_00109	7194	8748	hypothetical protein
PDPDEDFA_00110	9012	9513	FMN reductase [NAD(P)H]
PDPDEDFA_00111	9840	11016	hypothetical protein
PDPDEDFA_00112	11028	11439	hypothetical protein
PDPDEDFA_00113	11435	12263	hypothetical protein
PDPDEDFA_00114	12429	13194	hypothetical protein
PDPDEDFA_00115	13345	14293	hypothetical protein
PDPDEDFA_00116	14341	14686	hypothetical protein
PDPDEDFA_00117	14960	15107	hypothetical protein
PDPDEDFA_00118	15199	15853	hypothetical protein
PDPDEDFA_00119	16065	16749	putative protein YisK
PDPDEDFA_00120	17061	17346	hypothetical protein
PDPDEDFA_00121	17590	18304	hypothetical protein
PDPDEDFA_00122	18365	19868	Fructose import ATP-binding protein FruK
PDPDEDFA_00123	19925	20909	Ribose import permease protein RbsC
PDPDEDFA_00124	20929	21961	Autoinducer 2 import system permease protein LsrD
PDPDEDFA_00125	22108	23341	Autoinducer 2-binding protein LsrB
PDPDEDFA_00126	23692	25165	NAD/NADP-dependent betaine aldehyde dehydrogenase
PDPDEDFA_00127	25410	26364	hypothetical protein
PDPDEDFA_00128	26415	27288	D-psicose 3-epimerase
PDPDEDFA_00129	27300	27600	2-dehydro-3,6-dideoxy-6-sulfogluconate aldolase
PDPDEDFA_00130	27630	28509	Acetaldehyde dehydrogenase
PDPDEDFA_00131	28510	29524	4-hydroxy-2-oxovalerate aldolase
PDPDEDFA_00132	29559	30561	Glycerate dehydrogenase
PDPDEDFA_00133	30582	31542	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
PDPDEDFA_00134	31574	32546	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta
PDPDEDFA_00135	32728	33760	Ribose import binding protein RbsB
PDPDEDFA_00136	33871	35374	Galactose/methyl galactoside import ATP-binding protein MglA
PDPDEDFA_00137	35366	36371	Ribose import permease protein RbsC
PDPDEDFA_00138	36558	36804	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
PDPDEDFA_00139	36851	38048	hypothetical protein
PDPDEDFA_00140	38381	38756	hypothetical protein
PDPDEDFA_00141	1035	2103	hypothetical protein
PDPDEDFA_00142	2095	2677	ECF RNA polymerase sigma factor SigX
PDPDEDFA_00143	3389	4865	Hopanoid C-2 methylase
PDPDEDFA_00144	5030	6044	putative fructose-bisphosphate aldolase
PDPDEDFA_00145	6141	6381	hypothetical protein
PDPDEDFA_00146	6631	6892	hypothetical protein
PDPDEDFA_00147	6881	7193	hypothetical protein
PDPDEDFA_00148	7358	8741	hypothetical protein
PDPDEDFA_00149	8981	9227	Antitoxin VapB33
PDPDEDFA_00150	9223	9652	Ribonuclease VapC37
PDPDEDFA_00151	9853	10198	hypothetical protein
PDPDEDFA_00152	11544	12003	hypothetical protein
PDPDEDFA_00153	12032	12431	hypothetical protein
PDPDEDFA_00154	12465	12651	hypothetical protein
PDPDEDFA_00155	12773	13031	hypothetical protein
PDPDEDFA_00156	13389	14691	hypothetical protein
PDPDEDFA_00157	14779	16801	hypothetical protein
PDPDEDFA_00158	730	1717	Oligopeptide transport ATP-binding protein OppD
PDPDEDFA_00159	1727	2870	Oligopeptide transport system permease protein OppC
PDPDEDFA_00160	2889	3810	Dipeptide transport system permease protein DppB
PDPDEDFA_00162	4213	6097	hypothetical protein
PDPDEDFA_00163	6537	6771	hypothetical protein
PDPDEDFA_00164	7012	8491	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
PDPDEDFA_00165	58	592	hypothetical protein
PDPDEDFA_00166	728	1238	hypothetical protein
PDPDEDFA_00167	1405	2188	hypothetical protein
PDPDEDFA_00168	2260	2635	hypothetical protein
PDPDEDFA_00169	2631	2838	hypothetical protein
PDPDEDFA_00170	31	811	Spermidine/putrescine transport system permease protein PotB
PDPDEDFA_00171	828	1635	Inner membrane ABC transporter permease protein YdcV
PDPDEDFA_00172	1681	2926	hypothetical protein
PDPDEDFA_00173	112	880	hypothetical protein
PDPDEDFA_00174	1117	1681	hypothetical protein
PDPDEDFA_00175	2026	3226	Ribosomal RNA large subunit methyltransferase I
PDPDEDFA_00176	3643	5107	hypothetical protein
PDPDEDFA_00177	5398	7072	hypothetical protein
PDPDEDFA_00178	7087	7876	putative ABC transporter ATP-binding protein YknY
PDPDEDFA_00179	7859	9119	Macrolide export ATP-binding/permease protein MacB
PDPDEDFA_00180	9487	10162	Transcriptional regulatory protein TcrA
PDPDEDFA_00181	10170	11337	Signal transduction histidine-protein kinase ArlS
PDPDEDFA_00182	11672	12413	hypothetical protein
PDPDEDFA_00183	12605	13457	hypothetical protein
PDPDEDFA_00184	13742	14492	hypothetical protein
PDPDEDFA_00185	14501	15239	hypothetical protein
PDPDEDFA_00186	15235	16162	Vitamin B12 import ATP-binding protein BtuD
PDPDEDFA_00187	16329	17490	Putative ribosome biogenesis GTPase RsgA
PDPDEDFA_00188	17748	18834	Butyrate kinase 2
PDPDEDFA_00189	19023	20052	putative sugar kinase YdjH
PDPDEDFA_00190	20270	20681	hypothetical protein
PDPDEDFA_00191	20798	21830	hypothetical protein
PDPDEDFA_00192	22092	22356	hypothetical protein
PDPDEDFA_00193	22342	22567	hypothetical protein
PDPDEDFA_00195	22760	23015	Sulfur carrier protein TusA
PDPDEDFA_00196	23279	23462	hypothetical protein
PDPDEDFA_00197	23471	23855	Iron-sulfur cluster assembly scaffold protein IscU
PDPDEDFA_00198	24205	25402	Cysteine desulfurase IscS
PDPDEDFA_00199	25701	26073	hypothetical protein
PDPDEDFA_00200	26494	27736	Acetate kinase
PDPDEDFA_00201	27751	29194	hypothetical protein
PDPDEDFA_00202	29313	31047	Octanoyltransferase LipM
PDPDEDFA_00203	205	919	hypothetical protein
PDPDEDFA_00204	992	1892	Tyrosine recombinase XerD
PDPDEDFA_00205	1875	2439	ADP-ribose pyrophosphatase
PDPDEDFA_00206	2631	3801	Peptidase T
PDPDEDFA_00207	3876	4395	hypothetical protein
PDPDEDFA_00208	4732	6361	CTP synthase
PDPDEDFA_00209	6373	8155	DNA repair protein RecN
PDPDEDFA_00210	8170	9037	NAD kinase
PDPDEDFA_00211	9099	9930	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
PDPDEDFA_00212	9926	10841	Farnesyl diphosphate synthase
PDPDEDFA_00213	10866	11298	hypothetical protein
PDPDEDFA_00214	11500	12061	Elongation factor P
PDPDEDFA_00215	12107	13238	Methionine aminopeptidase
PDPDEDFA_00216	13241	13685	3-dehydroquinate dehydratase
PDPDEDFA_00217	13748	14954	3-dehydroquinate synthase
PDPDEDFA_00218	14950	15484	Shikimate kinase
PDPDEDFA_00219	15531	16710	Chorismate synthase
PDPDEDFA_00220	17223	17994	Type 4 prepilin-like proteins leader peptide-processing enzyme
PDPDEDFA_00221	18029	18911	Shikimate dehydrogenase (NADP(+))
PDPDEDFA_00222	19064	19358	Acylphosphatase
PDPDEDFA_00223	19378	21973	Calcium-transporting ATPase 1
PDPDEDFA_00224	22301	23561	hypothetical protein
PDPDEDFA_00225	23596	24631	hypothetical protein
PDPDEDFA_00226	24614	25658	Endolytic murein transglycosylase
PDPDEDFA_00227	25761	26259	Putative pre-16S rRNA nuclease
PDPDEDFA_00228	26255	29111	Alanine--tRNA ligase
PDPDEDFA_00229	29125	30955	Aspartate--tRNA ligase
PDPDEDFA_00230	30960	32232	Histidine--tRNA ligase
PDPDEDFA_00231	32222	32876	Hydroxyacylglutathione hydrolase GloC
PDPDEDFA_00232	32948	35444	Bifunctional (p)ppGpp synthase/hydrolase RelA
PDPDEDFA_00233	35813	37859	Single-stranded-DNA-specific exonuclease RecJ
PDPDEDFA_00234	37880	38087	Protein translocase subunit SecDF
PDPDEDFA_00235	49	559	hypothetical protein
PDPDEDFA_00236	762	1422	hypothetical protein
PDPDEDFA_00237	1531	2224	hypothetical protein
PDPDEDFA_00238	2920	4123	Cysteine desulfurase IscS
PDPDEDFA_00239	4157	4466	hypothetical protein
PDPDEDFA_00240	4495	6322	Glutamine-dependent NAD(+) synthetase
PDPDEDFA_00241	6427	6589	hypothetical protein
PDPDEDFA_00242	7043	7727	hypothetical protein
PDPDEDFA_00243	8052	9387	Glutamine synthetase
PDPDEDFA_00244	9618	10230	hypothetical protein
PDPDEDFA_00245	10628	11510	Lipoyl synthase
PDPDEDFA_00246	11493	12387	putative chromosome-partitioning protein ParB
PDPDEDFA_00247	12373	13372	Nitrogenase iron protein
PDPDEDFA_00248	13480	14218	Ribosomal RNA small subunit methyltransferase G
PDPDEDFA_00249	14217	16083	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
PDPDEDFA_00250	16105	18001	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
PDPDEDFA_00251	19086	19470	hypothetical protein
PDPDEDFA_00252	19466	20270	IS3 family transposase ISMco1
PDPDEDFA_00253	20645	22034	tRNA modification GTPase MnmE
PDPDEDFA_00254	22264	22501	hypothetical protein
PDPDEDFA_00255	22714	23398	hypothetical protein
PDPDEDFA_00256	23421	24246	Membrane protein insertase YidC
PDPDEDFA_00257	24984	25119	50S ribosomal protein L34
PDPDEDFA_00258	22	880	Ribose operon repressor
PDPDEDFA_00259	1214	2387	hypothetical protein
PDPDEDFA_00260	2541	2910	hypothetical protein
PDPDEDFA_00261	3159	5277	hypothetical protein
PDPDEDFA_00262	5644	8959	hypothetical protein
PDPDEDFA_00263	903	1677	5-keto-D-gluconate 5-reductase
PDPDEDFA_00264	1673	4493	Sensor histidine kinase RcsC
PDPDEDFA_00265	4659	9087	Sensor histidine kinase RcsC
PDPDEDFA_00266	9149	9545	Chemotaxis protein CheY
PDPDEDFA_00267	9916	13177	Sensor histidine kinase RcsC
PDPDEDFA_00268	13584	14886	Transcriptional regulator LytR
PDPDEDFA_00269	14967	15747	hypothetical protein
PDPDEDFA_00270	15806	16991	Flavo-diiron protein FprA1
PDPDEDFA_00271	17327	17702	Desulfoferrodoxin
PDPDEDFA_00272	17976	18663	3-ketosteroid-9-alpha-monooxygenase, ferredoxin reductase component
PDPDEDFA_00273	19228	19561	hypothetical protein
PDPDEDFA_00274	19660	19864	hypothetical protein
PDPDEDFA_00275	20133	21726	hypothetical protein
PDPDEDFA_00276	211	403	hypothetical protein
PDPDEDFA_00277	418	904	hypothetical protein
PDPDEDFA_00278	866	1250	NAD(P)H-quinone oxidoreductase subunit I
PDPDEDFA_00279	1246	2179	NADH-quinone oxidoreductase subunit 8
PDPDEDFA_00280	2186	3374	Formate hydrogenlyase subunit 5
PDPDEDFA_00281	3373	3841	NAD(P)H-quinone oxidoreductase subunit J, chloroplastic
PDPDEDFA_00282	3887	4322	Formate hydrogenlyase subunit 7
PDPDEDFA_00283	4487	4817	hypothetical protein
PDPDEDFA_00284	4843	5164	NAD(P)H-quinone oxidoreductase subunit 4L, chloroplastic
PDPDEDFA_00285	5163	5649	hypothetical protein
PDPDEDFA_00286	5680	6697	Na(+)/H(+) antiporter subunit D
PDPDEDFA_00287	300	546	hypothetical protein
PDPDEDFA_00288	1274	3278	Protein TolB
PDPDEDFA_00289	502	1114	hypothetical protein
PDPDEDFA_00290	1052	1916	hypothetical protein
PDPDEDFA_00291	2004	2637	Thymidylate kinase
PDPDEDFA_00292	2648	3737	hypothetical protein
PDPDEDFA_00293	3895	4723	hypothetical protein
PDPDEDFA_00295	7058	8429	Multidrug export protein MepA
PDPDEDFA_00296	8697	10209	Diaminopimelate decarboxylase
PDPDEDFA_00297	10441	10681	hypothetical protein
PDPDEDFA_00298	10649	10955	hypothetical protein
PDPDEDFA_00299	11157	12483	Homoserine dehydrogenase
PDPDEDFA_00300	12685	14185	Threonine synthase
PDPDEDFA_00301	14473	15775	hypothetical protein
PDPDEDFA_00302	16605	16845	hypothetical protein
PDPDEDFA_00303	397	997	Polysialic acid O-acetyltransferase
PDPDEDFA_00304	1072	3457	hypothetical protein
PDPDEDFA_00305	3866	4445	hypothetical protein
PDPDEDFA_00306	4600	5686	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
PDPDEDFA_00307	5688	6612	hypothetical protein
PDPDEDFA_00308	6635	7091	hypothetical protein
PDPDEDFA_00309	7087	8053	CDP-paratose 2-epimerase
PDPDEDFA_00310	8796	9924	Flagellin
PDPDEDFA_00311	346	1282	Nucleoid occlusion protein
PDPDEDFA_00312	1274	2057	hypothetical protein
PDPDEDFA_00313	2186	4394	hypothetical protein
PDPDEDFA_00314	4769	6104	Protein TolB
PDPDEDFA_00315	6209	6440	hypothetical protein
PDPDEDFA_00316	6436	6946	hypothetical protein
PDPDEDFA_00317	7689	8142	hypothetical protein
PDPDEDFA_00318	8382	9084	Glycerol-3-phosphate acyltransferase
PDPDEDFA_00319	9091	10249	putative oxidoreductase/MSMEI_1564
PDPDEDFA_00320	10248	11925	GMP synthase [glutamine-hydrolyzing]
PDPDEDFA_00321	11977	12262	hypothetical protein
PDPDEDFA_00322	12776	13601	Phospho-2-dehydro-3-deoxyheptonate aldolase
PDPDEDFA_00323	13727	15974	ATP-dependent DNA helicase PcrA
PDPDEDFA_00324	16296	17208	hypothetical protein
PDPDEDFA_00325	17305	18208	3-oxoacyl-[acyl-carrier-protein] reductase FabG
PDPDEDFA_00326	1995	2424	hypothetical protein
PDPDEDFA_00327	2451	5079	hypothetical protein
PDPDEDFA_00328	5184	6408	hypothetical protein
PDPDEDFA_00329	297	1533	hypothetical protein
PDPDEDFA_00330	1887	3030	hypothetical protein
PDPDEDFA_00331	3173	3425	hypothetical protein
PDPDEDFA_00332	3561	4713	hypothetical protein
PDPDEDFA_00333	5179	5413	hypothetical protein
PDPDEDFA_00334	5456	5942	hypothetical protein
PDPDEDFA_00335	1822	2242	hypothetical protein
PDPDEDFA_00336	2540	2873	hypothetical protein
PDPDEDFA_00337	2862	3228	hypothetical protein
PDPDEDFA_00338	3306	3690	hypothetical protein
PDPDEDFA_00339	3945	4980	hypothetical protein
PDPDEDFA_00340	5377	6166	hypothetical protein
PDPDEDFA_00341	6162	7239	Delta(14)-sterol reductase
PDPDEDFA_00342	7266	7815	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
PDPDEDFA_00343	7896	8325	Inner membrane protein YbaN
PDPDEDFA_00344	8491	8761	hypothetical protein
PDPDEDFA_00345	118	1258	hypothetical protein
PDPDEDFA_00346	1462	2266	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
PDPDEDFA_00347	2231	3590	Cyclic 2,3-diphosphoglycerate synthetase
PDPDEDFA_00348	3620	4565	hypothetical protein
PDPDEDFA_00349	4772	5210	hypothetical protein
PDPDEDFA_00350	5548	6403	hypothetical protein
PDPDEDFA_00351	6691	7129	hypothetical protein
PDPDEDFA_00352	7125	7596	hypothetical protein
PDPDEDFA_00353	107	1910	L-fucose isomerase
PDPDEDFA_00354	2087	2861	Dihydroanticapsin 7-dehydrogenase
PDPDEDFA_00355	3116	4682	Xylulose kinase
PDPDEDFA_00356	4963	6406	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
PDPDEDFA_00357	6527	6911	hypothetical protein
PDPDEDFA_00358	7125	7752	hypothetical protein
PDPDEDFA_00359	2	254	hypothetical protein
PDPDEDFA_00360	265	664	hypothetical protein
PDPDEDFA_00361	906	1149	hypothetical protein
PDPDEDFA_00362	1105	1417	hypothetical protein
PDPDEDFA_00363	1508	2090	hypothetical protein
PDPDEDFA_00364	2102	2783	hypothetical protein
PDPDEDFA_00365	24	801	Exodeoxyribonuclease 7 large subunit
PDPDEDFA_00366	802	1045	Exodeoxyribonuclease 7 small subunit
PDPDEDFA_00367	1370	1805	Transcriptional regulator MraZ
PDPDEDFA_00368	1872	2823	Ribosomal RNA small subunit methyltransferase H
PDPDEDFA_00369	3079	3619	Cell division protein FtsL
PDPDEDFA_00370	3640	5395	Stage V sporulation protein D
PDPDEDFA_00371	5547	7053	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase
PDPDEDFA_00372	7034	7142	hypothetical protein
PDPDEDFA_00373	7284	8880	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase
PDPDEDFA_00374	8883	9897	Phospho-N-acetylmuramoyl-pentapeptide- transferase
PDPDEDFA_00375	10086	11751	UDP-N-acetylmuramoylalanine--D-glutamate ligase
PDPDEDFA_00376	11747	12989	putative peptidoglycan glycosyltransferase FtsW
PDPDEDFA_00377	12985	14140	UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
PDPDEDFA_00378	14160	15558	UDP-N-acetylmuramate--L-alanine ligase
PDPDEDFA_00379	15793	16771	UDP-N-acetylenolpyruvoylglucosamine reductase
PDPDEDFA_00380	16772	17825	D-alanine--D-alanine ligase
PDPDEDFA_00381	17967	18864	Cell division protein FtsQ
PDPDEDFA_00382	18931	20182	Cell division protein FtsA
PDPDEDFA_00383	20203	21397	Cell division protein FtsZ
PDPDEDFA_00384	21509	22193	Pyridoxal phosphate homeostasis protein
PDPDEDFA_00385	22293	22845	Cell division protein SepF
PDPDEDFA_00386	22871	23711	Pyrroline-5-carboxylate reductase
PDPDEDFA_00387	23867	24884	hypothetical protein
PDPDEDFA_00388	24895	25168	hypothetical protein
PDPDEDFA_00389	25164	25896	hypothetical protein
PDPDEDFA_00390	25892	26006	hypothetical protein
PDPDEDFA_00391	26103	26532	hypothetical protein
PDPDEDFA_00392	26518	26683	hypothetical protein
PDPDEDFA_00393	26657	27377	Polyprenol monophosphomannose synthase
PDPDEDFA_00394	27518	28094	5-formyltetrahydrofolate cyclo-ligase
PDPDEDFA_00395	28090	28939	Protein DegV
PDPDEDFA_00396	29110	29956	Protein DegV
PDPDEDFA_00397	30390	31593	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein
PDPDEDFA_00398	31795	32674	Diacylglycerol kinase
PDPDEDFA_00399	33089	33800	hypothetical protein
PDPDEDFA_00401	34032	37614	ATP-dependent DNA helicase Rep
PDPDEDFA_00402	107	722	Imidazole glycerol phosphate synthase subunit HisH
PDPDEDFA_00403	727	1312	Histidine biosynthesis bifunctional protein HisB
PDPDEDFA_00404	1410	2064	ATP phosphoribosyltransferase
PDPDEDFA_00405	2075	3335	ATP phosphoribosyltransferase regulatory subunit
PDPDEDFA_00406	3589	3715	hypothetical protein
PDPDEDFA_00407	3721	7894	DNA polymerase III subunit alpha
PDPDEDFA_00408	8326	9181	Pyridinium-3,5-biscarboxylic acid mononucleotide synthase
PDPDEDFA_00409	9245	9422	hypothetical protein
PDPDEDFA_00410	9449	10811	hypothetical protein
PDPDEDFA_00411	230	620	hypothetical protein
PDPDEDFA_00412	1108	2314	5'-deoxynucleotidase YfbR
PDPDEDFA_00413	2572	4363	hypothetical protein
PDPDEDFA_00414	4497	4935	hypothetical protein
PDPDEDFA_00415	4945	6808	hypothetical protein
PDPDEDFA_00416	174	1422	UDP-N-acetyl-D-mannosamine dehydrogenase
PDPDEDFA_00417	1449	2619	UDP-N-acetylglucosamine 2-epimerase
PDPDEDFA_00418	2641	4552	Asparagine synthetase [glutamine-hydrolyzing] 1
PDPDEDFA_00419	236	494	hypothetical protein
PDPDEDFA_00420	486	759	hypothetical protein
PDPDEDFA_00421	933	2064	hypothetical protein
PDPDEDFA_00422	2333	2705	NAD(P)H-quinone oxidoreductase subunit 3
PDPDEDFA_00423	2692	3175	NAD(P)H-quinone oxidoreductase subunit K 1
PDPDEDFA_00424	3487	4006	NAD(P)H-quinone oxidoreductase subunit J, chloroplastic
PDPDEDFA_00425	4162	5290	NADH-quinone oxidoreductase subunit 4
PDPDEDFA_00426	5406	6390	NADH-quinone oxidoreductase subunit H
PDPDEDFA_00427	6390	6849	NADH-quinone oxidoreductase subunit I
PDPDEDFA_00428	7168	7909	hypothetical protein
PDPDEDFA_00429	7909	8239	NADH-quinone oxidoreductase subunit 11
PDPDEDFA_00430	8396	10337	NADH-quinone oxidoreductase subunit L
PDPDEDFA_00431	10575	12042	NAD(P)H-quinone oxidoreductase chain 4 1
PDPDEDFA_00432	12201	13662	NADH-quinone oxidoreductase subunit N
PDPDEDFA_00433	13968	14430	Plastocyanin
PDPDEDFA_00434	14572	15340	hypothetical protein
PDPDEDFA_00435	15928	16243	hypothetical protein
PDPDEDFA_00436	16232	16619	hypothetical protein
PDPDEDFA_00437	17077	18292	hypothetical protein
PDPDEDFA_00438	18440	19016	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
PDPDEDFA_00439	302	572	hypothetical protein
PDPDEDFA_00440	584	812	hypothetical protein
PDPDEDFA_00441	978	2550	hypothetical protein
PDPDEDFA_00442	2830	4030	D-inositol-3-phosphate glycosyltransferase
PDPDEDFA_00443	233	2564	hypothetical protein
PDPDEDFA_00444	2850	4374	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
PDPDEDFA_00445	5474	7325	hypothetical protein
PDPDEDFA_00446	7366	8401	hypothetical protein
PDPDEDFA_00447	8646	9375	hypothetical protein
PDPDEDFA_00448	9364	10591	hypothetical protein
PDPDEDFA_00449	10587	11577	hypothetical protein
PDPDEDFA_00450	11584	12547	hypothetical protein
PDPDEDFA_00451	12749	13013	hypothetical protein
PDPDEDFA_00452	13189	13621	hypothetical protein
PDPDEDFA_00453	13627	15037	hypothetical protein
