genome1	taxonomy1	phylum1	genome2	taxonomy2	phylum2
archaea00477	Methanomassiliicoccus sp. UBA393	Euryarchaeota	archaea00357	Methanomassiliicoccus sp. UBA292	Euryarchaeota
archaea00477	Methanomassiliicoccus sp. UBA393	Euryarchaeota	archaea00676	Methanomassiliicoccus sp. UBA315	Euryarchaeota
bacteria07664	Chloroflexi bacterium GWC2_49_37	Chloroflexi	bacteria07594	Chloroflexi bacterium GWD2_49_16	Chloroflexi
bacteria07664	Chloroflexi bacterium GWC2_49_37	Chloroflexi	bacteria07662	Chloroflexi bacterium GWB2_49_20	Chloroflexi
bacteria14247	Anaerolineales bacterium UBA4142	Chloroflexi	bacteria15636	Anaerolineales bacterium UBA5215	Chloroflexi
bacteria14247	Anaerolineales bacterium UBA4142	Chloroflexi	bacteria15208	Anaerolineales bacterium UBA4826	Chloroflexi
archaea00330	Methanoregula sp. UBA247	Euryarchaeota	archaea00449	Methanoregula sp. UBA450	Euryarchaeota
archaea00643	Methanolinea sp. UBA451	Euryarchaeota	archaea00912	Methanolinea sp. UBA155	Euryarchaeota
archaea00643	Methanolinea sp. UBA451	Euryarchaeota	archaea00783	Methanolinea sp. UBA275	Euryarchaeota
archaea00643	Methanolinea sp. UBA451	Euryarchaeota	archaea00568	Methanolinea sp. UBA245	Euryarchaeota
archaea00643	Methanolinea sp. UBA451	Euryarchaeota	archaea00420	Methanolinea sp. UBA145	Euryarchaeota
archaea00643	Methanolinea sp. UBA451	Euryarchaeota	archaea00518	Methanolinea sp. UBA437	Euryarchaeota
archaea00366	Methanoregula sp. UBA244	Euryarchaeota	archaea00784	Methanoregula sp. UBA274	Euryarchaeota
archaea00366	Methanoregula sp. UBA244	Euryarchaeota	archaea00492	Methanoregula sp. UBA434	Euryarchaeota
archaea00366	Methanoregula sp. UBA244	Euryarchaeota	archaea00606	Methanoregula sp. UBA154	Euryarchaeota
archaea00366	Methanoregula sp. UBA244	Euryarchaeota	archaea00529	Methanoregula sp. UBA143	Euryarchaeota
archaea00366	Methanoregula sp. UBA244	Euryarchaeota	archaea00816	Methanoregula sp. UBA452	Euryarchaeota
bacteria07867	Elusimicrobia bacterium RIFOXYB1_FULL_48_9	Elusimicrobia	bacteria07868	Elusimicrobia bacterium RIFOXYB12_FULL_50_12	Elusimicrobia
bacteria07867	Elusimicrobia bacterium RIFOXYB1_FULL_48_9	Elusimicrobia	bacteria07869	Elusimicrobia bacterium RIFOXYB2_FULL_46_23	Elusimicrobia
bacteria07867	Elusimicrobia bacterium RIFOXYB1_FULL_48_9	Elusimicrobia	bacteria07861	Elusimicrobia bacterium RIFOXYA2_FULL_47_53	Elusimicrobia
bacteria07867	Elusimicrobia bacterium RIFOXYB1_FULL_48_9	Elusimicrobia	bacteria07857	Elusimicrobia bacterium RIFOXYA12_FULL_49_49	Elusimicrobia
bacteria08741	Spirochaetes bacterium GWD1_27_9	Spirochaetes	bacteria08669	Spirochaetes bacterium GWB1_27_13	Spirochaetes
bacteria20693	Actinobacteria bacterium	Actinobacteria	bacteria20733	Actinobacteria bacterium	Actinobacteria
bacteria07828	Elusimicrobia bacterium GWA2_64_40	Elusimicrobia	bacteria07831	Elusimicrobia bacterium GWB2_63_16	Elusimicrobia
bacteria00506	Geobacter sulfurreducens PCA 	Deltaproteobacteria	bacteria01866	Geobacter sulfurreducens KN400 	Deltaproteobacteria
bacteria15914	Geobacter sp. UBA5735	Deltaproteobacteria	bacteria14303	Geobacter sp. UBA4078	Deltaproteobacteria
bacteria08785	Desulfococcus multivorans 	Deltaproteobacteria	bacteria09687	Desulfococcus multivorans 	Deltaproteobacteria
bacteria17632	Desulfovibrio sp. UBA7315	Deltaproteobacteria	bacteria11313	Desulfovibrio sp. UBA1335	Deltaproteobacteria
bacteria17632	Desulfovibrio sp. UBA7315	Deltaproteobacteria	bacteria11124	Desulfovibrio sp. UBA728	Deltaproteobacteria
bacteria15898	Desulfobulbaceae bacterium UBA5750	Deltaproteobacteria	bacteria12866	Desulfobulbaceae bacterium UBA2248	Deltaproteobacteria
bacteria07317	Candidatus Raymondbacteria bacterium RIFOXYA2_FULL_49_16	Raymondbacteria	bacteria07318	Candidatus Raymondbacteria bacterium RifOxyB12_full_50_8	Raymondbacteria
bacteria07317	Candidatus Raymondbacteria bacterium RIFOXYA2_FULL_49_16	Raymondbacteria	bacteria07316	Candidatus Raymondbacteria bacterium RifOxyA12_full_50_37	Raymondbacteria
bacteria07317	Candidatus Raymondbacteria bacterium RIFOXYA2_FULL_49_16	Raymondbacteria	bacteria07319	Candidatus Raymondbacteria bacterium RifOxyC12_full_50_8	Raymondbacteria
bacteria07317	Candidatus Raymondbacteria bacterium RIFOXYA2_FULL_49_16	Raymondbacteria	bacteria07723	Candidatus Raymondbacteria bacterium RIFOXYB2_FULL_49_35	Raymondbacteria
bacteria17162	Desulfobulbaceae bacterium UBA6913	Deltaproteobacteria	bacteria15722	Desulfobulbaceae bacterium UBA5121	Deltaproteobacteria
bacteria08000	Lentisphaerae bacterium RIFOXYB12_FULL_65_16	PVC	bacteria07997	Lentisphaerae bacterium RIFOXYA12_64_32	PVC
bacteria20622	Ignavibacteriae bacterium	Chlorobi	bacteria20745	Ignavibacteriae bacterium	Chlorobi
bacteria21020	Ignavibacteriae bacterium	Chlorobi	bacteria20845	Ignavibacteriae bacterium	Chlorobi
bacteria20497	Ignavibacteriae bacterium	Chlorobi	bacteria20486	Ignavibacteriae bacterium	Chlorobi
bacteria20667	Ignavibacteriae bacterium	Chlorobi	bacteria20828	Ignavibacteriae bacterium	Chlorobi
bacteria20667	Ignavibacteriae bacterium	Chlorobi	bacteria20744	Ignavibacteriae bacterium	Chlorobi
bacteria15803	Bacteroidales bacterium UBA5072	Bacteroidetes	bacteria14256	Bacteroidales bacterium UBA4133	Bacteroidetes
bacteria20707	Bacteroidales bacterium	Bacteroidetes	bacteria20458	Bacteroidales bacterium	Bacteroidetes
bacteria20445	Bacteroidales bacterium	Bacteroidetes	bacteria20475	Bacteroidales bacterium	Bacteroidetes
bacteria20444	Bacteroidales bacterium	Bacteroidetes	bacteria20436	Bacteroidales bacterium	Bacteroidetes
bacteria20442	Bacteroidales bacterium	Bacteroidetes	bacteria20453	Bacteroidales bacterium	Bacteroidetes
bacteria06336	Bacteroidetes bacterium GWF2_35_48	Bacteroidetes	bacteria06350	Bacteroidetes bacterium RIFOXYA12_FULL_35_11	Bacteroidetes
bacteria06336	Bacteroidetes bacterium GWF2_35_48	Bacteroidetes	bacteria06369	Bacteroidetes bacterium RIFOXYC12_FULL_35_7	Bacteroidetes
bacteria20678	Myxococcales bacterium	Deltaproteobacteria	bacteria20901	Myxococcales bacterium	Deltaproteobacteria
bacteria20830	Opitutae bacterium	PVC	bacteria20689	Opitutae bacterium	PVC
bacteria21452	Acidobacteria bacterium	Acidobacteria	bacteria21402	Acidobacteria bacterium	Acidobacteria
bacteria08704	Syntrophobacterales bacterium GWF2_56_9	Deltaproteobacteria	bacteria08753	Syntrophobacterales bacterium GWC2_56_13	Deltaproteobacteria
bacteria08704	Syntrophobacterales bacterium GWF2_56_9	Deltaproteobacteria	bacteria07743	Deltaproteobacteria bacterium RBG_16_58_17	Deltaproteobacteria
bacteria17335	Smithella sp. UBA6798	Deltaproteobacteria	bacteria16029	Smithella sp. UBA6208	Deltaproteobacteria
bacteria15924	Smithella sp. UBA5724	Deltaproteobacteria	bacteria14315	Smithella sp. UBA4047	Deltaproteobacteria
bacteria11556	Syntrophaceae bacterium UBA1164	Deltaproteobacteria	bacteria17870	Syntrophaceae bacterium UBA7544	Deltaproteobacteria
bacteria20292	Syntrophaceae bacterium	Deltaproteobacteria	bacteria21230	Syntrophaceae bacterium	Deltaproteobacteria
bacteria20292	Syntrophaceae bacterium	Deltaproteobacteria	bacteria21351	Syntrophaceae bacterium	Deltaproteobacteria
bacteria20292	Syntrophaceae bacterium	Deltaproteobacteria	bacteria21335	Syntrophaceae bacterium	Deltaproteobacteria
bacteria20292	Syntrophaceae bacterium	Deltaproteobacteria	bacteria21102	Syntrophaceae bacterium	Deltaproteobacteria
bacteria20292	Syntrophaceae bacterium	Deltaproteobacteria	bacteria20309	Syntrophaceae bacterium	Deltaproteobacteria
bacteria20292	Syntrophaceae bacterium	Deltaproteobacteria	bacteria20505	Syntrophaceae bacterium	Deltaproteobacteria
bacteria20292	Syntrophaceae bacterium	Deltaproteobacteria	bacteria20316	Syntrophaceae bacterium	Deltaproteobacteria
bacteria20292	Syntrophaceae bacterium	Deltaproteobacteria	bacteria20400	Syntrophaceae bacterium	Deltaproteobacteria
bacteria20292	Syntrophaceae bacterium	Deltaproteobacteria	bacteria21162	Syntrophaceae bacterium	Deltaproteobacteria
bacteria20292	Syntrophaceae bacterium	Deltaproteobacteria	bacteria21197	Syntrophaceae bacterium	Deltaproteobacteria
bacteria20292	Syntrophaceae bacterium	Deltaproteobacteria	bacteria20361	Syntrophaceae bacterium	Deltaproteobacteria
bacteria20292	Syntrophaceae bacterium	Deltaproteobacteria	bacteria20330	Syntrophaceae bacterium	Deltaproteobacteria
bacteria12896	Syntrophaceae bacterium UBA2251	Deltaproteobacteria	bacteria14306	Syntrophaceae bacterium UBA4065	Deltaproteobacteria
bacteria12131	Desulfobacteraceae bacterium UBA2130	Deltaproteobacteria	bacteria15970	Desulfobacteraceae bacterium UBA5681	Deltaproteobacteria
bacteria12131	Desulfobacteraceae bacterium UBA2130	Deltaproteobacteria	bacteria12088	Desulfobacteraceae bacterium UBA2156	Deltaproteobacteria
bacteria20494	Syntrophaceae bacterium	Deltaproteobacteria	bacteria21447	Syntrophaceae bacterium	Deltaproteobacteria
bacteria15219	Syntrophaceae bacterium UBA4816	Deltaproteobacteria	bacteria12079	Syntrophaceae bacterium UBA2188	Deltaproteobacteria
bacteria20672	Dehalococcoidia bacterium	Chloroflexi	bacteria20692	Dehalococcoidia bacterium	Chloroflexi
bacteria20871	Dehalococcoidia bacterium	Chloroflexi	bacteria20699	Dehalococcoidia bacterium	Chloroflexi
bacteria20871	Dehalococcoidia bacterium	Chloroflexi	bacteria20889	Dehalococcoidia bacterium	Chloroflexi
bacteria20871	Dehalococcoidia bacterium	Chloroflexi	bacteria20742	Dehalococcoidia bacterium	Chloroflexi
bacteria06501	candidate division WOR-1 bacterium RIFOXYA2_FULL_46_56	WOR1	bacteria06459	candidate division WOR-1 bacterium RIFOXYB2_FULL_46_45	WOR1
bacteria06501	candidate division WOR-1 bacterium RIFOXYA2_FULL_46_56	WOR1	bacteria06464	candidate division WOR-1 bacterium RIFOXYC2_FULL_46_14	WOR1
bacteria06501	candidate division WOR-1 bacterium RIFOXYA2_FULL_46_56	WOR1	bacteria06450	candidate division WOR-1 bacterium RIFOXYA12_FULL_43_27	WOR1
bacteria06457	candidate division WOR-1 bacterium RIFOXYB2_FULL_42_35	WOR1	bacteria06500	candidate division WOR-1 bacterium RIFOXYA2_FULL_41_14	WOR1
bacteria15087	Synergistaceae bacterium UBA4921	Synergistaceae	bacteria15477	Synergistaceae bacterium UBA5258	Synergistaceae
bacteria15087	Synergistaceae bacterium UBA4921	Synergistaceae	bacteria15553	Synergistaceae bacterium UBA5331	Synergistaceae
bacteria15087	Synergistaceae bacterium UBA4921	Synergistaceae	bacteria15495	Synergistaceae bacterium UBA5240	Synergistaceae
bacteria06781	Candidatus Firestonebacteria bacterium RIFOXYD2_FULL_39_29	Firestonebacteria	bacteria06881	Candidatus Firestonebacteria bacterium RIFOXYC2_FULL_39_67	Firestonebacteria
bacteria22395	Ethanoligenens harbinense 	Firmicutes	bacteria22396	Ethanoligenens harbinense 	Firmicutes
bacteria22395	Ethanoligenens harbinense 	Firmicutes	bacteria01635	Ethanoligenens harbinense YUAN-3 	Firmicutes
bacteria22395	Ethanoligenens harbinense 	Firmicutes	bacteria19726	Ethanoligenens harbinense YUAN-3 	Firmicutes
bacteria12876	Firmicutes bacterium UBA2269	Firmicutes	bacteria14346	Firmicutes bacterium UBA4049	Firmicutes
bacteria12876	Firmicutes bacterium UBA2269	Firmicutes	bacteria17013	Firmicutes bacterium UBA6245	Firmicutes
bacteria12876	Firmicutes bacterium UBA2269	Firmicutes	bacteria17529	Firmicutes bacterium UBA6800	Firmicutes
bacteria17323	Firmicutes bacterium UBA6827	Firmicutes	bacteria12556	Firmicutes bacterium UBA2530	Firmicutes
bacteria14269	Firmicutes bacterium UBA3553	Firmicutes	bacteria16132	Firmicutes bacterium UBA5526	Firmicutes
bacteria15146	Syntrophomonas sp. UBA4889	Firmicutes	bacteria15534	Syntrophomonas sp. UBA5373	Firmicutes
bacteria15490	Syntrophomonas sp. UBA5246	Firmicutes	bacteria15050	Syntrophomonas sp. UBA4968	Firmicutes
bacteria15490	Syntrophomonas sp. UBA5246	Firmicutes	bacteria15458	Syntrophomonas sp. UBA5316	Firmicutes
bacteria15490	Syntrophomonas sp. UBA5246	Firmicutes	bacteria16275	Syntrophomonas sp. UBA5443	Firmicutes
bacteria15490	Syntrophomonas sp. UBA5246	Firmicutes	bacteria15632	Syntrophomonas sp. UBA5221	Firmicutes
bacteria15490	Syntrophomonas sp. UBA5246	Firmicutes	bacteria16150	Syntrophomonas sp. UBA5481	Firmicutes
bacteria15490	Syntrophomonas sp. UBA5246	Firmicutes	bacteria16256	Syntrophomonas sp. UBA5504	Firmicutes
bacteria15490	Syntrophomonas sp. UBA5246	Firmicutes	bacteria15609	Syntrophomonas sp. UBA5298	Firmicutes
bacteria15490	Syntrophomonas sp. UBA5246	Firmicutes	bacteria15035	Syntrophomonas sp. UBA4990	Firmicutes
bacteria15490	Syntrophomonas sp. UBA5246	Firmicutes	bacteria15094	Syntrophomonas sp. UBA4911	Firmicutes
bacteria15105	Syntrophomonas sp. UBA4894	Firmicutes	bacteria15155	Syntrophomonas sp. UBA4878	Firmicutes
bacteria15291	Desulfosporosinus sp. UBA4745	Firmicutes	bacteria15664	Desulfosporosinus sp. UBA5188	Firmicutes
bacteria15291	Desulfosporosinus sp. UBA4745	Firmicutes	bacteria15672	Desulfosporosinus sp. UBA5179	Firmicutes
bacteria15873	Desulfosporosinus sp. UBA5775	Firmicutes	bacteria14347	Desulfosporosinus sp. UBA4048	Firmicutes
