GCA_001766905.1	Acidobacteria bacterium RBG_13_68_16
GCA_001767955.1	Alphaproteobacteria bacterium RIFCSPLOWO2_01_FULL_40_26
GCA_001768885.1	Alphaproteobacteria bacterium RIFCSPLOWO2_01_FULL_45_8
GCA_001767995.1	Alphaproteobacteria bacterium RIFCSPLOWO2_02_42_7
GCA_001768015.1	Alphaproteobacteria bacterium RIFCSPLOWO2_02_FULL_40_19
GCA_001768895.1	Alphaproteobacteria bacterium RIFCSPLOWO2_02_FULL_43_54
GCA_001768925.1	Alphaproteobacteria bacterium RIFCSPLOWO2_12_FULL_40_11
GCA_001768955.1	Alphaproteobacteria bacterium RIFCSPLOWO2_12_FULL_42_29
GCA_001768035.1	Alphaproteobacteria bacterium RIFOXYD12_FULL_60_8
GCA_001768045.1	Anaerolinea sp. RIFOXYB12_FULL_60_12
GCA_001768075.1	Anaeromyxobacter sp. RBG_16_69_14
GCA_001768085.1	Armatimonadetes bacterium RBG_16_58_9
GCA_001768115.1	Armatimonadetes bacterium RBG_16_67_12
GCA_001768125.1	Armatimonadetes bacterium RBG_19FT_COMBO_69_19
GCA_001768155.1	Bacteroidetes bacterium GWA2_30_7
GCA_001768975.1	Bacteroidetes bacterium GWA2_31_9
GCA_001769005.1	Bacteroidetes bacterium GWA2_31_9b
GCA_001769035.1	Bacteroidetes bacterium GWA2_32_17
GCA_001769045.1	Bacteroidetes bacterium GWA2_33_15
GCA_001768165.1	Bacteroidetes bacterium GWA2_40_14
GCA_001768195.1	Bacteroidetes bacterium GWA2_40_15
GCA_001768205.1	Bacteroidetes bacterium GWA2_42_15
GCA_001768235.1	Bacteroidetes bacterium GWB2_32_14
GCA_001768245.1	Bacteroidetes bacterium GWB2_41_8
GCA_001768275.1	Bacteroidetes bacterium GWC1_47_7
GCA_001768285.1	Bacteroidetes bacterium GWC2_33_15
GCA_001769075.1	Bacteroidetes bacterium GWC2_40_13
GCA_001768305.1	Bacteroidetes bacterium GWC2_40_22
GCA_001768325.1	Bacteroidetes bacterium GWC2_46_850
GCA_001768355.1	Bacteroidetes bacterium GWD2_33_33
GCA_001768365.1	Bacteroidetes bacterium GWD2_40_43
GCA_001768395.1	Bacteroidetes bacterium GWD2_45_23
GCA_001769085.1	Bacteroidetes bacterium GWE2_29_8
GCA_001768405.1	Bacteroidetes bacterium GWE2_32_14
GCA_001768435.1	Bacteroidetes bacterium GWE2_39_28
GCA_001768455.1	Bacteroidetes bacterium GWE2_40_15
GCA_001768475.1	Bacteroidetes bacterium GWE2_40_63
GCA_001768485.1	Bacteroidetes bacterium GWE2_41_25
GCA_001768515.1	Bacteroidetes bacterium GWE2_42_24
GCA_001768535.1	Bacteroidetes bacterium GWE2_42_39
GCA_001769115.1	Bacteroidetes bacterium GWE2_42_42
GCA_001768555.1	Bacteroidetes bacterium GWF2_29_10
GCA_001768565.1	Bacteroidetes bacterium GWF2_33_16
GCA_001769505.1	Bacteroidetes bacterium GWF2_33_38
GCA_001769125.1	Bacteroidetes bacterium GWF2_35_48
GCA_001769535.1	Bacteroidetes bacterium GWF2_38_335
GCA_001769145.1	Bacteroidetes bacterium GWF2_39_10
GCA_001769175.1	Bacteroidetes bacterium GWF2_40_13
GCA_001769195.1	Bacteroidetes bacterium GWF2_40_14
GCA_001769215.1	Bacteroidetes bacterium GWF2_41_31
GCA_001769545.1	Bacteroidetes bacterium GWF2_41_61
GCA_001769225.1	Bacteroidetes bacterium GWF2_41_9
GCA_001769245.1	Bacteroidetes bacterium GWF2_42_66
GCA_001769555.1	Bacteroidetes bacterium GWF2_43_11
GCA_001769275.1	Bacteroidetes bacterium GWF2_43_63
GCA_001769295.1	Bacteroidetes bacterium GWF2_49_14
GCA_001769315.1	Bacteroidetes bacterium RBG_13_42_15
GCA_001769575.1	Bacteroidetes bacterium RBG_13_43_22
GCA_001769325.1	Bacteroidetes bacterium RBG_13_44_24
GCA_001769615.1	Bacteroidetes bacterium RBG_13_46_8
GCA_001769625.1	Bacteroidetes bacterium RBG_19FT_COMBO_42_10
GCA_001769635.1	Bacteroidetes bacterium RBG_19FT_COMBO_42_7
GCA_001769845.1	Bacteroidetes bacterium RIFCSPHIGHO2_02_FULL_44_7
GCA_001769355.1	Bacteroidetes bacterium RIFCSPLOWO2_02_FULL_36_8
GCA_001769375.1	Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_31_6
GCA_001769385.1	Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_35_15
GCA_001769655.1	Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_37_12
GCA_001769695.1	Bacteroidetes bacterium RIFOXYA12_FULL_33_9
GCA_001769395.1	Bacteroidetes bacterium RIFOXYA12_FULL_35_11
GCA_001769705.1	Bacteroidetes bacterium RIFOXYA12_FULL_38_20
GCA_001769725.1	Bacteroidetes bacterium RIFOXYA12_FULL_40_10
GCA_001769435.1	Bacteroidetes bacterium RIFOXYA2_FULL_33_7
GCA_001769455.1	Bacteroidetes bacterium RIFOXYB12_FULL_41_6
GCA_001769745.1	Bacteroidetes bacterium RIFOXYB2_FULL_35_7
GCA_001769775.1	Bacteroidetes bacterium RIFOXYB2_FULL_39_7
GCA_001769785.1	Bacteroidetes bacterium RIFOXYC12_FULL_35_7
GCA_001769465.1	Bacteroidetes bacterium RIFOXYC2_FULL_39_11
GCA_001769865.1	Bacteroidetes bacterium RIFOXYC2_FULL_40_12
GCA_001769805.1	Bdellovibrionales bacterium GWA1_52_35
GCA_001769855.1	Bdellovibrionales bacterium GWA2_49_15
GCA_001769475.1	Bdellovibrionales bacterium GWB1_52_6
GCA_001769835.1	Bdellovibrionales bacterium GWB1_55_8
GCA_001769915.1	Bdellovibrionales bacterium GWC1_52_8
GCA_001769925.1	Bdellovibrionales bacterium RBG_16_40_8
GCA_001771815.1	Bdellovibrionales bacterium RIFCSPHIGHO2_01_FULL_40_29
GCA_001769935.1	Bdellovibrionales bacterium RIFCSPHIGHO2_02_FULL_40_15
GCA_001769975.1	Bdellovibrionales bacterium RIFOXYA1_FULL_36_14
GCA_001769995.1	Bdellovibrionales bacterium RIFOXYA1_FULL_38_20
GCA_001771825.1	Bdellovibrionales bacterium RIFOXYB1_FULL_37_110
GCA_001771845.1	Bdellovibrionales bacterium RIFOXYB1_FULL_39_21
GCA_001770005.1	Bdellovibrionales bacterium RIFOXYB2_FULL_36_6
GCA_001770085.1	Bdellovibrionales bacterium RIFOXYC12_FULL_39_17
GCA_001770015.1	Bdellovibrionales bacterium RIFOXYC1_FULL_37_79
GCA_001770035.1	Bdellovibrionales bacterium RIFOXYC1_FULL_39_130
GCA_001770075.1	Bdellovibrionales bacterium RIFOXYC1_FULL_54_43
GCA_001771865.1	Bdellovibrionales bacterium RIFOXYC2_FULL_39_8
GCA_001770205.1	Bdellovibrionales bacterium RIFOXYD12_FULL_39_22
GCA_001770105.1	Bdellovibrionales bacterium RIFOXYD1_FULL_36_51
GCA_001770125.1	Bdellovibrionales bacterium RIFOXYD1_FULL_39_84
GCA_001770155.1	Bdellovibrionales bacterium RIFOXYD1_FULL_44_7
GCA_001770165.1	Bdellovibrionales bacterium RIFOXYD1_FULL_53_11
GCA_001770175.1	Bdellovibrionales bacterium RIFOXYD1_FULL_55_31
GCA_001771895.1	Betaproteobacteria bacterium RBG_16_56_24
GCA_001770235.1	Betaproteobacteria bacterium RBG_16_58_11
GCA_001770245.1	Betaproteobacteria bacterium RBG_16_64_18
GCA_001770255.1	Betaproteobacteria bacterium RBG_16_64_9
GCA_001770285.1	Betaproteobacteria bacterium RBG_16_66_20
GCA_001771905.1	Betaproteobacteria bacterium RBG_19FT_COMBO_58_11
GCA_001770315.1	Betaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_69_13
GCA_001770325.1	Betaproteobacteria bacterium RIFCSPLOWO2_02_64_14
GCA_001770345.1	Betaproteobacteria bacterium RIFCSPLOWO2_02_67_12
GCA_001770355.1	Betaproteobacteria bacterium RIFCSPLOWO2_02_FULL_62_17
GCA_001770395.1	Betaproteobacteria bacterium RIFCSPLOWO2_02_FULL_62_79
GCA_001770415.1	Betaproteobacteria bacterium RIFCSPLOWO2_02_FULL_63_19
GCA_001771915.1	Betaproteobacteria bacterium RIFCSPLOWO2_02_FULL_64_12
GCA_001770425.1	Betaproteobacteria bacterium RIFCSPLOWO2_02_FULL_65_20
GCA_001770435.1	Betaproteobacteria bacterium RIFCSPLOWO2_02_FULL_65_24
GCA_001770475.1	Betaproteobacteria bacterium RIFCSPLOWO2_02_FULL_66_14
GCA_001770495.1	Betaproteobacteria bacterium RIFCSPLOWO2_02_FULL_67_19
GCA_001771935.1	Betaproteobacteria bacterium RIFCSPLOWO2_02_FULL_67_26
GCA_001771975.1	Betaproteobacteria bacterium RIFCSPLOWO2_02_FULL_68_150
GCA_001770505.1	Betaproteobacteria bacterium RIFCSPLOWO2_12_61_14
GCA_001771985.1	Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_62_13
GCA_001770525.1	Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_62_13b
GCA_001772005.1	Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_62_58
GCA_001770545.1	Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_63_13
GCA_001770575.1	Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_64_23
GCA_001772025.1	Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_65_110
GCA_001770585.1	Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_65_14
GCA_001770615.1	Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_66_14
GCA_001770625.1	Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_67_28
GCA_001772055.1	Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_68_19
GCA_001770655.1	Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_68_20
GCA_001770675.1	Burkholderiales bacterium GWA2_64_37
GCA_001770695.1	Burkholderiales bacterium GWE1_65_30
GCA_001770705.1	Burkholderiales bacterium GWF1_66_17
GCA_001770725.1	Burkholderiales bacterium RIFCSPHIGHO2_01_FULL_63_240
GCA_001770745.1	Burkholderiales bacterium RIFCSPHIGHO2_01_FULL_64_960
GCA_001772075.1	Burkholderiales bacterium RIFCSPHIGHO2_02_FULL_64_19
GCA_001772095.1	Burkholderiales bacterium RIFCSPHIGHO2_02_FULL_66_10
GCA_001772105.1	Burkholderiales bacterium RIFCSPHIGHO2_12_63_9
GCA_001770785.1	Burkholderiales bacterium RIFCSPHIGHO2_12_FULL_61_11
GCA_001770775.1	Burkholderiales bacterium RIFCSPHIGHO2_12_FULL_63_20
GCA_001770805.1	Burkholderiales bacterium RIFCSPHIGHO2_12_FULL_65_48
GCA_001772135.1	Burkholderiales bacterium RIFCSPHIGHO2_12_FULL_67_38
GCA_001770815.1	Burkholderiales bacterium RIFCSPHIGHO2_12_FULL_69_20
GCA_001770855.1	Burkholderiales bacterium RIFCSPLOWO2_02_FULL_57_36
GCA_001770865.1	Burkholderiales bacterium RIFCSPLOWO2_02_FULL_66_35
GCA_001770905.1	Burkholderiales bacterium RIFCSPLOWO2_02_FULL_67_64
GCA_001770895.1	Burkholderiales bacterium RIFCSPLOWO2_12_67_14
GCA_001770935.1	Burkholderiales bacterium RIFCSPLOWO2_12_FULL_61_40
GCA_001772145.1	Burkholderiales bacterium RIFCSPLOWO2_12_FULL_64_33
GCA_001772175.1	Burkholderiales bacterium RIFCSPLOWO2_12_FULL_64_99
GCA_001770955.1	Burkholderiales bacterium RIFCSPLOWO2_12_FULL_65_40
GCA_001770965.1	Burkholderiales bacterium RIFCSPLOWO2_12_FULL_67_210
GCA_001770985.1	Burkholderiales bacterium RIFOXYC12_FULL_60_6
GCA_001770995.1	Burkholderiales bacterium RIFOXYC12_FULL_65_23
GCA_001771035.1	Burkholderiales bacterium RIFOXYC2_FULL_59_8
GCA_001771065.1	Burkholderiales bacterium RIFOXYD12_FULL_59_19
GCA_001772185.1	Burkholderiales bacterium RIFOXYD2_FULL_59_8
GCA_001771055.1	Caldithrix sp. RBG_13_44_9
GCA_001773455.1	Candidatus Abawacabacteria bacterium RBG_16_42_10
GCA_001773485.1	Candidatus Abawacabacteria bacterium RIFCSPHIGHO2_01_FULL_46_8
GCA_001775435.1	Candidatus Adlerbacteria bacterium RIFCSPHIGHO2_01_FULL_54_23
GCA_001773505.1	Candidatus Adlerbacteria bacterium RIFCSPHIGHO2_02_FULL_52_17
GCA_001775445.1	Candidatus Adlerbacteria bacterium RIFCSPHIGHO2_02_FULL_54_18
GCA_001775475.1	Candidatus Adlerbacteria bacterium RIFCSPHIGHO2_12_FULL_53_18
GCA_001775485.1	Candidatus Adlerbacteria bacterium RIFCSPLOWO2_01_FULL_51_16
GCA_001773535.1	Candidatus Adlerbacteria bacterium RIFCSPLOWO2_01_FULL_54_16
GCA_001773545.1	Candidatus Adlerbacteria bacterium RIFCSPLOWO2_01_FULL_54_21b
GCA_001775515.1	Candidatus Adlerbacteria bacterium RIFOXYB1_FULL_48_10
GCA_001773575.1	Candidatus Adlerbacteria bacterium RIFOXYC1_FULL_48_26
GCA_001775525.1	Candidatus Adlerbacteria bacterium RIFOXYD1_FULL_48_8
GCA_001773585.1	Candidatus Amesbacteria bacterium RBG_16_48_31
GCA_001775555.1	Candidatus Amesbacteria bacterium RBG_19FT_COMBO_48_16
GCA_001775565.1	Candidatus Amesbacteria bacterium RIFCSPHIGHO2_01_FULL_47_34
GCA_001773615.1	Candidatus Amesbacteria bacterium RIFCSPHIGHO2_01_FULL_48_32
GCA_001775605.1	Candidatus Amesbacteria bacterium RIFCSPHIGHO2_01_FULL_48_32b
GCA_001773625.1	Candidatus Amesbacteria bacterium RIFCSPHIGHO2_01_FULL_48_75
GCA_001775595.1	Candidatus Amesbacteria bacterium RIFCSPHIGHO2_02_FULL_47_9
GCA_001775635.1	Candidatus Amesbacteria bacterium RIFCSPHIGHO2_02_FULL_48_21
GCA_001773645.1	Candidatus Amesbacteria bacterium RIFCSPHIGHO2_12_FULL_48_14
GCA_001773655.1	Candidatus Amesbacteria bacterium RIFCSPLOWO2_01_FULL_47_33
GCA_001773695.1	Candidatus Amesbacteria bacterium RIFCSPLOWO2_01_FULL_48_25
GCA_001773715.1	Candidatus Amesbacteria bacterium RIFCSPLOWO2_01_FULL_48_50
GCA_001773725.1	Candidatus Amesbacteria bacterium RIFCSPLOWO2_01_FULL_49_25
GCA_001773735.1	Candidatus Amesbacteria bacterium RIFCSPLOWO2_02_FULL_48_11
GCA_001773775.1	Candidatus Amesbacteria bacterium RIFOXYB1_FULL_44_23
GCA_001775645.1	Candidatus Amesbacteria bacterium RIFOXYB1_FULL_47_12
GCA_001773795.1	Candidatus Amesbacteria bacterium RIFOXYB1_FULL_47_13
GCA_001775675.1	Candidatus Amesbacteria bacterium RIFOXYB1_FULL_47_9
GCA_001773815.1	Candidatus Amesbacteria bacterium RIFOXYD1_FULL_47_9
GCA_001775685.1	Candidatus Aminicenantes bacterium RBG_13_59_9
GCA_001775695.1	Candidatus Aminicenantes bacterium RBG_13_62_12
GCA_001773825.1	Candidatus Aminicenantes bacterium RBG_13_63_10
GCA_001773855.1	Candidatus Aminicenantes bacterium RBG_13_64_14
GCA_001773875.1	Candidatus Aminicenantes bacterium RBG_16_63_14
GCA_001773895.1	Candidatus Aminicenantes bacterium RBG_16_63_16
GCA_001775715.1	Candidatus Aminicenantes bacterium RBG_16_66_30
GCA_001773915.1	Candidatus Aminicenantes bacterium RBG_19FT_COMBO_58_17
GCA_001773925.1	Candidatus Aminicenantes bacterium RBG_19FT_COMBO_59_29
GCA_001775755.1	Candidatus Aminicenantes bacterium RBG_19FT_COMBO_65_30
GCA_001817035.1	Candidatus Andersenbacteria bacterium RIFCSPHIGHO2_01_FULL_46_36
GCA_001817055.1	Candidatus Andersenbacteria bacterium RIFCSPHIGHO2_02_FULL_45_11
GCA_001817065.1	Candidatus Andersenbacteria bacterium RIFCSPHIGHO2_02_FULL_46_16
GCA_001817095.1	Candidatus Andersenbacteria bacterium RIFCSPHIGHO2_12_FULL_45_11
GCA_001817115.1	Candidatus Andersenbacteria bacterium RIFCSPHIGHO2_12_FULL_45_11b
GCA_001817135.1	Candidatus Andersenbacteria bacterium RIFCSPHIGHO2_12_FULL_46_9
GCA_001817145.1	Candidatus Andersenbacteria bacterium RIFCSPLOWO2_02_FULL_46_11
GCA_001817175.1	Candidatus Andersenbacteria bacterium RIFCSPLOWO2_12_FULL_45_8
GCA_001775775.1	Candidatus Atribacteria bacterium RBG_16_35_8
GCA_001773955.1	Candidatus Atribacteria bacterium RBG_19FT_COMBO_35_14
GCA_001773975.1	Candidatus Azambacteria bacterium RBG_16_47_10
GCA_001773995.1	Candidatus Azambacteria bacterium RIFCSPHIGHO2_01_46_10
GCA_001775785.1	Candidatus Azambacteria bacterium RIFCSPHIGHO2_01_FULL_40_24
GCA_001774005.1	Candidatus Azambacteria bacterium RIFCSPHIGHO2_01_FULL_44_55
GCA_001774035.1	Candidatus Azambacteria bacterium RIFCSPHIGHO2_01_FULL_51_74
GCA_001775795.1	Candidatus Azambacteria bacterium RIFCSPHIGHO2_02_46_12
GCA_001774055.1	Candidatus Azambacteria bacterium RIFCSPHIGHO2_02_FULL_45_18
GCA_001775835.1	Candidatus Azambacteria bacterium RIFCSPHIGHO2_02_FULL_52_12
GCA_001775855.1	Candidatus Azambacteria bacterium RIFCSPLOWO2_01_FULL_37_9
GCA_001774075.1	Candidatus Azambacteria bacterium RIFCSPLOWO2_01_FULL_44_84
GCA_001774085.1	Candidatus Azambacteria bacterium RIFCSPLOWO2_01_FULL_46_25
GCA_001774105.1	Candidatus Azambacteria bacterium RIFCSPLOWO2_01_FULL_46_26
GCA_001775875.1	Candidatus Azambacteria bacterium RIFCSPLOWO2_02_FULL_42_10
GCA_001774135.1	Candidatus Azambacteria bacterium RIFCSPLOWO2_02_FULL_44_14
GCA_001774155.1	Candidatus Azambacteria bacterium RIFCSPLOWO2_02_FULL_46_11
GCA_001775885.1	Candidatus Azambacteria bacterium RIFOXYA1_FULL_42_37
GCA_001775915.1	Candidatus Azambacteria bacterium RIFOXYB1_FULL_40_33
GCA_001774165.1	Candidatus Azambacteria bacterium RIFOXYC1_FULL_41_20
GCA_001774195.1	Candidatus Azambacteria bacterium RIFOXYD1_FULL_42_11
GCA_001774215.1	Candidatus Azambacteria bacterium RIFOXYD1_FULL_42_38
GCA_001775935.1	Candidatus Azambacteria bacterium RIFOXYD1_FULL_44_10
GCA_001775955.1	Candidatus Bathyarchaeota archaeon RBG_13_38_9
GCA_001774235.1	Candidatus Bathyarchaeota archaeon RBG_13_46_16b
GCA_001774245.1	Candidatus Bathyarchaeota archaeon RBG_13_52_12
GCA_001775965.1	Candidatus Bathyarchaeota archaeon RBG_13_60_20
GCA_001775995.1	Candidatus Bathyarchaeota archaeon RBG_16_48_13
GCA_001776015.1	Candidatus Bathyarchaeota archaeon RBG_16_57_9
GCA_001776035.1	Candidatus Beckwithbacteria bacterium RBG_13_35_6
GCA_001776045.1	Candidatus Beckwithbacteria bacterium RBG_13_42_9
GCA_001774275.1	Candidatus Beckwithbacteria bacterium RIFCSPHIGHO2_01_FULL_49_39
GCA_001776075.1	Candidatus Beckwithbacteria bacterium RIFCSPHIGHO2_02_FULL_49_13
GCA_001776095.1	Candidatus Beckwithbacteria bacterium RIFCSPHIGHO2_12_FULL_47_17
GCA_001774295.1	Candidatus Beckwithbacteria bacterium RIFCSPHIGHO2_12_FULL_49_13
GCA_001774315.1	Candidatus Beckwithbacteria bacterium RIFCSPLOWO2_01_FULL_49_47
GCA_001776115.1	Candidatus Beckwithbacteria bacterium RIFCSPLOWO2_02_FULL_47_23
GCA_001774335.1	Candidatus Beckwithbacteria bacterium RIFCSPLOWO2_02_FULL_49_12
GCA_001774345.1	Candidatus Beckwithbacteria bacterium RIFOXYD1_FULL_50_11
GCA_001774375.1	Candidatus Berkelbacteria bacterium RBG_13_40_8
GCA_001776125.1	Candidatus Berkelbacteria bacterium RIFCSPHIGHO2_01_FULL_50_36
GCA_001776145.1	Candidatus Berkelbacteria bacterium RIFCSPHIGHO2_12_FULL_36_9
GCA_001776175.1	Candidatus Berkelbacteria bacterium RIFCSPHIGHO2_12_FULL_50_11
GCA_001774395.1	Candidatus Berkelbacteria bacterium RIFCSPLOWO2_01_FULL_50_28
GCA_001776195.1	Candidatus Berkelbacteria bacterium RIFOXYA2_FULL_43_10
GCA_001816375.1	Candidatus Blackburnbacteria bacterium RIFCSPHIGHO2_01_FULL_40_17
GCA_001816385.1	Candidatus Blackburnbacteria bacterium RIFCSPHIGHO2_01_FULL_43_15b
GCA_001816875.1	Candidatus Blackburnbacteria bacterium RIFCSPHIGHO2_01_FULL_44_64
GCA_001816405.1	Candidatus Blackburnbacteria bacterium RIFCSPHIGHO2_02_FULL_39_13
GCA_001816425.1	Candidatus Blackburnbacteria bacterium RIFCSPHIGHO2_02_FULL_44_20
GCA_001816895.1	Candidatus Blackburnbacteria bacterium RIFCSPHIGHO2_12_FULL_41_13b
GCA_001816455.1	Candidatus Blackburnbacteria bacterium RIFCSPHIGHO2_12_FULL_44_25
GCA_001816475.1	Candidatus Blackburnbacteria bacterium RIFCSPLOWO2_01_FULL_40_20
GCA_001816485.1	Candidatus Blackburnbacteria bacterium RIFCSPLOWO2_01_FULL_41_27
GCA_001816495.1	Candidatus Blackburnbacteria bacterium RIFCSPLOWO2_01_FULL_44_43
GCA_001816535.1	Candidatus Blackburnbacteria bacterium RIFCSPLOWO2_02_FULL_40_10
GCA_001816555.1	Candidatus Blackburnbacteria bacterium RIFCSPLOWO2_02_FULL_44_9
GCA_001817195.1	Candidatus Brennerbacteria bacterium RIFOXYB1_FULL_41_13
GCA_001817215.1	Candidatus Brennerbacteria bacterium RIFOXYC1_FULL_41_11
GCA_001817235.1	Candidatus Brennerbacteria bacterium RIFOXYD1_FULL_41_16
GCA_001817255.1	Candidatus Buchananbacteria bacterium RBG_13_36_9
GCA_001817265.1	Candidatus Buchananbacteria bacterium RBG_13_39_9
GCA_001817295.1	Candidatus Buchananbacteria bacterium RIFCSPHIGHO2_01_FULL_39_14
GCA_001817305.1	Candidatus Buchananbacteria bacterium RIFCSPHIGHO2_01_FULL_39_8
GCA_001817335.1	Candidatus Buchananbacteria bacterium RIFCSPHIGHO2_01_FULL_40_35
GCA_001817345.1	Candidatus Buchananbacteria bacterium RIFCSPHIGHO2_01_FULL_44_11
GCA_001817375.1	Candidatus Buchananbacteria bacterium RIFCSPHIGHO2_01_FULL_46_12
GCA_001817385.1	Candidatus Buchananbacteria bacterium RIFCSPHIGHO2_01_FULL_47_11b
GCA_001817415.1	Candidatus Buchananbacteria bacterium RIFCSPHIGHO2_02_FULL_38_8
GCA_001817425.1	Candidatus Buchananbacteria bacterium RIFCSPHIGHO2_02_FULL_39_17
GCA_001817455.1	Candidatus Buchananbacteria bacterium RIFCSPHIGHO2_02_FULL_40_13
GCA_001817465.1	Candidatus Buchananbacteria bacterium RIFCSPHIGHO2_02_FULL_45_11b
GCA_001817495.1	Candidatus Buchananbacteria bacterium RIFCSPHIGHO2_02_FULL_56_16
GCA_001817505.1	Candidatus Buchananbacteria bacterium RIFCSPLOWO2_01_FULL_39_33
