genome_name	original_name	genome_size	completeness	redundancy	taxonomy	gtdb_taxonomy	filename
archaea00331	GCA_002495065.1	2.42	86.56427015250544	0.6535947712418301	Methanoregula sp. UBA471	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	archaea00331.fna
archaea00357	GCA_002495585.1	2.13	95.16129032258064	0.8064516129032258	Methanomassiliicoccus sp. UBA292	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	archaea00357.fna
archaea00366	GCA_002495775.1	2.01	82.48366013071896	0.89760348583878	Methanoregula sp. UBA244	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	archaea00366.fna
archaea00394	GCA_002496345.1	1.96	94.90281224152193	0	Methanomassiliicoccus sp. UBA382	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	archaea00394.fna
archaea00420	GCA_002496855.1	2.29	96.40522875816994	5.06116976705212	Methanolinea sp. UBA145	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__	archaea00420.fna
archaea00449	GCA_002497445.1	1.98	63.901458019105085	0	Methanoregula sp. UBA450	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	archaea00449.fna
archaea00477	GCA_002497995.1	2.01	97.58064516129032	0.8064516129032258	Methanomassiliicoccus sp. UBA393	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	archaea00477.fna
archaea00491	GCA_002498285.1	1.83	84.71768751904575	0	Methanomassiliicoccus sp. UBA386	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	archaea00491.fna
archaea00492	GCA_002498295.1	2.29	89.86928104575163	0.7541478129713423	Methanoregula sp. UBA434	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	archaea00492.fna
archaea00496	GCA_002498375.1	1.56	96.88741721854306	0	Methanocorpusculum sp. UBA424	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__	archaea00496.fna
archaea00512	GCA_002498705.1	 1.6	96.86092715231788	0.6622516556291391	Methanocorpusculum sp. UBA362	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__	archaea00512.fna
archaea00518	GCA_002498825.1	2.51	96.40522875816994	0	Methanolinea sp. UBA437	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__	archaea00518.fna
archaea00529	GCA_002499025.1	2.16	91.44461203284733	0	Methanoregula sp. UBA143	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	archaea00529.fna
archaea00568	GCA_002499825.1	2.67	98.36601307189542	2.6143790849673203	Methanolinea sp. UBA245	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__	archaea00568.fna
archaea00572	GCA_002499905.1	1.95	99.67320261437908	1.3071895424836601	Methanolinea sp. UBA277	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__UBA9949;s__	archaea00572.fna
archaea00595	GCA_002502005.1	1.92	85.84454311958557	0.8064516129032258	Methanomassiliicoccus sp. UBA321	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	archaea00595.fna
archaea00606	GCA_002502245.1	2.25	86.60130718954248	0	Methanoregula sp. UBA154	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	archaea00606.fna
archaea00631	GCA_002502735.1	2.38	99.54248366013073	1.3071895424836601	Methanoregula sp. UBA64	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	archaea00631.fna
archaea00643	GCA_002502975.1	2.43	94.44444444444444	1.4379084967320264	Methanolinea sp. UBA451	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__	archaea00643.fna
archaea00669	GCA_002503495.1	1.92	84.65260545905707	2.4193548387096775	Methanomassiliicoccus sp. UBA335	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	archaea00669.fna
archaea00676	GCA_002503645.1	1.85	79.25623612380828	0	Methanomassiliicoccus sp. UBA315	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	archaea00676.fna
archaea00685	GCA_002503825.1	2.84	99.67320261437908	1.3071895424836601	Methanoregulaceae archaeon UBA467	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__;s__	archaea00685.fna
archaea00704	GCA_002504525.1	2.13	95.03722084367246	0	Methanomassiliicoccus sp. UBA345	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	archaea00704.fna
archaea00738	GCA_002505225.1	2.26	92.750097949588607	0	Methanomassiliicoccus sp. UBA429	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	archaea00738.fna
archaea00781	GCA_002506085.1	1.81	97.7124183006536	0.6535947712418301	Methanocorpusculaceae archaeon UBA425	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__	archaea00781.fna
archaea00783	GCA_002506105.1	2.23	93.79084967320262	0	Methanolinea sp. UBA275	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__	archaea00783.fna
archaea00784	GCA_002506145.1	2.17	85.5119825708061	0	Methanoregula sp. UBA274	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	archaea00784.fna
archaea00816	GCA_002506785.1	2.48	95.66783978548683	0.32679738562091504	Methanoregula sp. UBA452	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	archaea00816.fna
archaea00857	GCA_002508425.1	2.47	95.26143790849673	2.9411764705882355	Methanosarcinaceae archaeon UBA470	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__	archaea00857.fna
archaea00859	GCA_002508465.1	4.26	88.99346405228758	0.6535947712418301	Methanosarcina sp. UBA7	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__	archaea00859.fna
archaea00861	GCA_002508495.1	1.93	68.62745098039215	0.8714596949891066	Methanoregula sp. UBA276	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	archaea00861.fna
archaea00863	GCA_002508545.1	2.36	97.31182795698926	0.8064516129032258	Methanomassiliicoccus sp. UBA6	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__UBA10881;s__	archaea00863.fna
archaea00864	GCA_002508555.1	1.81	89.33002481389579	0	Methanomassiliicoccus sp. UBA364	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	archaea00864.fna
archaea00865	GCA_002508585.1	1.88	88.30024813895781	0.8064516129032258	Methanomassiliicoccus sp. UBA360	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	archaea00865.fna
archaea00911	GCA_002509495.1	 2.2	92.3202614379085	0	Methanolinea sp. UBA473	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__	archaea00911.fna
archaea00912	GCA_002509505.1	2.45	97.07977207977207	1.9607843137254901	Methanolinea sp. UBA155	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__	archaea00912.fna
archaea00943	GCA_003135935.1	2.08	94.23076923076923	0.8064516129032258	Methanomassiliicoccaceae archaeon	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__;g__;s__	archaea00943.fna
archaea00944	GCA_003136075.1	2.16	92.19808949220713	5.228758169934641	Methanoregula sp.	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	archaea00944.fna
archaea00966	GCA_003153835.1	1.92	76.9673202614379	0	Methanoregula sp.	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	archaea00966.fna
archaea00981	GCA_003157895.1	2.03	90.28104575163398	0.16339869281045752	Methanoregula sp.	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	archaea00981.fna
archaea01023	GCA_003170075.1	1.92	99.54248366013073	1.5250544662309367	Methanoregula sp.	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	archaea01023.fna
archaea01029	GCA_003170975.1	2.05	83.8733031674208	1.8367688955924248	Methanoregula sp.	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	archaea01029.fna
archaea01058	KMBP001A.conconct.206.contigs	2.46	89.75000000000001	3.3906882591093117	Euryarchaeota	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__;s__	archaea01058.fna
archaea01059	KMBP001E.conconct.310_sub.contigs	3.17	90.24384112619407	3.4313725490196076	Euryarchaeota	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	archaea01059.fna
archaea01060	M_DeepCast_400m_m1_009	 2.4	95.64516129032258	6.129032258064516	Woesearchaeota	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__	archaea01060.fna
bacteria00190	2582580680	2.53	75.14367816091955	0.28735632183908044	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__;s__	bacteria00190.fna
bacteria00193	2582580684	3.07	77.19298245614036	0	Proteobacteria	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__;s__	bacteria00193.fna
bacteria00203	2582580694	2.54	63.949843260188096	0	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	bacteria00203.fna
bacteria00229	2593339183	 3.8	93.36419753086419	0	Proteobacteria	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__	bacteria00229.fna
bacteria00506	GCA_000007985.2	3.81	99.35483870967742	0	Geobacter sulfurreducens PCA 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__	bacteria00506.fna
bacteria00725	GCA_000012925.1	4.01	99.4162826420891	0	Geobacter metallireducens GS-15 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__	bacteria00725.fna
bacteria00749	GCA_000013405.1	3.18	96.42857142857143	3.870967741935484	Syntrophus aciditrophicus SB 	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__	bacteria00749.fna
bacteria00897	GCA_000016745.1	5.14	97.6600102406554	0	Geobacter uraniireducens Rf4 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_B;s__	bacteria00897.fna
bacteria01071	GCA_000020725.1	4.62	99.78494623655915	0	Geobacter bemidjiensis Bem 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__	bacteria01071.fna
bacteria01141	GCA_000022265.1	 4.3	99.35483870967742	0	Geobacter daltonii FRC-32 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_B;s__	bacteria01141.fna
bacteria01181	GCA_000023225.1	3.94	99.95590828924162	0	Desulfomicrobium baculatum DSM 4028 	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__	bacteria01181.fna
bacteria01199	GCA_000023645.1	4.75	100	0	Geobacter sp. M21 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__	bacteria01199.fna
bacteria01616	GCA_000175115.2	5.28	100	0	Geobacter sp. M18 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__	bacteria01616.fna
bacteria01626	GCA_000176915.2	3.63	99.40828402366864	0	Pseudodesulfovibrio aespoeensis Aspo-2 	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__	bacteria01626.fna
bacteria01635	GCA_000178115.2	3.01	97.31543624161074	0.33557046979865773	Ethanoligenens harbinense YUAN-3 	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Ethanoligenens;s__	bacteria01635.fna
bacteria01699	GCA_000186885.1	3.85	99.15123456790124	0	Desulfobulbus propionicus DSM 2032 	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__	bacteria01699.fna
bacteria01708	GCA_000189295.2	3.86	100	0.591715976331361	Desulfovibrio desulfuricans ND132 	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__	bacteria01708.fna
bacteria01723	GCA_000190635.1	3.41	100	0.34013605442176864	Syntrophobotulus glycolicus DSM 8271 	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__;s__	bacteria01723.fna
bacteria01866	GCA_000210155.1	3.71	99.35483870967742	0	Geobacter sulfurreducens KN400 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__	bacteria01866.fna
bacteria01900	GCA_000212675.2	 4.2	100	0	Desulfovibrio africanus str. Walvis Bay 	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__;s__	bacteria01900.fna
bacteria02048	GCA_000231405.3	3.18	99.36224489795919	0.977891156462585	Desulfitobacterium metallireducens DSM 15288 	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__;s__	bacteria02048.fna
bacteria02069	GCA_000235605.1	5.86	99.17091836734694	0.5102040816326531	Desulfosporosinus orientis DSM 765 	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	bacteria02069.fna
bacteria02134	GCA_000243135.3	3.62	97.95918367346938	1.3605442176870746	Desulfitobacterium dichloroeliminans LMG P-21439 	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__	bacteria02134.fna
bacteria02135	GCA_000243155.3	4.32	98.72448979591837	3.9753401360544216	Desulfitobacterium dehalogenans ATCC 51507 	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__	bacteria02135.fna
bacteria02180	GCA_000255115.3	4.99	99.48979591836735	2.4149659863945576	Desulfosporosinus acidiphilus SJ4 	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	bacteria02180.fna
bacteria02248	GCA_000266945.1	6.53	98.38709677419355	1.2903225806451613	Desulfomonile tiedjei DSM 6799 	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__;f__;g__;s__	bacteria02248.fna
bacteria02472	GCA_000305775.1	3.07	99.93622448979592	0	Dehalobacter sp. DCA 	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__;s__	bacteria02472.fna
bacteria02474	GCA_000305815.1	3.09	99.93622448979592	0	Dehalobacter sp. CF 	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__;s__	bacteria02474.fna
bacteria02631	GCA_000341655.1	1.43	99.00990099009901	0	Dehalococcoides mccartyi DCMB5 	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__	bacteria02631.fna
bacteria03013	GCA_000512895.1	2.94	99.93622448979592	0.46768707482993194	Dehalobacter restrictus DSM 9455 	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__;s__	bacteria03013.fna
bacteria03712	GCA_000817955.1	3.62	99.83870967741936	0	Geobacter pickeringii 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__	bacteria03712.fna
bacteria04577	GCA_001278055.1	3.96	99.03225806451613	0.6451612903225806	Desulfuromonas soudanensis 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae_A;g__;s__	bacteria04577.fna
bacteria05209	GCA_001563225.1	3.97	98.81656804733728	0	Pseudodesulfovibrio indicus 	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__	bacteria05209.fna
bacteria05316	GCA_001595385.3	2.79	94.83870967741936	1.935483870967742	Deltaproteobacteria bacterium GWC2_55_46	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__GWC2-55-46;s__	bacteria05316.fna
bacteria05416	GCA_001611275.1	3.92	99.35483870967742	0	Desulfuromonas sp. DDH964 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__;g__;s__	bacteria05416.fna
bacteria05491	GCA_001628815.1	3.67	97.8494623655914	0	Geobacter anodireducens 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__	bacteria05491.fna
bacteria06288	GCA_001768155.1	4.12	77.60426849136527	2.965135223199739	Bacteroidetes bacterium GWA2_30_7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GWF2-33-38;g__GWA2-31-9;s__	bacteria06288.fna
bacteria06329	GCA_001768975.1	4.96	91.28306878306879	1.1904761904761905	Bacteroidetes bacterium GWA2_31_9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GWF2-33-38;g__GWA2-31-9;s__	bacteria06329.fna
bacteria06331	GCA_001769035.1	4.77	95.47619047619048	1.1904761904761905	Bacteroidetes bacterium GWA2_32_17	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GWA2-32-17;g__GWA2-32-17;s__	bacteria06331.fna
bacteria06336	GCA_001769125.1	5.98	98.38709677419355	1.075268817204301	Bacteroidetes bacterium GWF2_35_48	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	bacteria06336.fna
bacteria06350	GCA_001769395.1	5.19	92.831541218638	1.6129032258064515	Bacteroidetes bacterium RIFOXYA12_FULL_35_11	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	bacteria06350.fna
bacteria06369	GCA_001769785.1	5.36	86.29195177582274	4.211469534050178	Bacteroidetes bacterium RIFOXYC12_FULL_35_7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	bacteria06369.fna
bacteria06383	GCA_001770075.1	3.66	85.37450396825396	3.6458333333333335	Bdellovibrionales bacterium RIFOXYC1_FULL_54_43	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__UBA1018;f__UBA1018;g__;s__	bacteria06383.fna
bacteria06389	GCA_001770175.1	3.69	82.68229166666666	0.8928571428571429	Bdellovibrionales bacterium RIFOXYD1_FULL_55_31	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__UBA1018;f__UBA1018;g__;s__	bacteria06389.fna
bacteria06441	GCA_001771235.1	3.94	85.10019392372334	0	candidate division KSB1 bacterium RBG_16_48_16	d__Bacteria;p__KSB1;c__UBA2214;o__UBA2214;f__UBA2214;g__;s__	bacteria06441.fna
bacteria06450	GCA_001771415.1	1.72	88.46153846153847	0.8547008547008547	candidate division WOR-1 bacterium RIFOXYA12_FULL_43_27	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__;g__;s__	bacteria06450.fna
bacteria06457	GCA_001771545.1	1.79	88.03418803418803	1.7094017094017093	candidate division WOR-1 bacterium RIFOXYB2_FULL_42_35	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__O2-12-FULL-45-9;f__O2-12-FULL-45-9;g__;s__	bacteria06457.fna
bacteria06459	GCA_001771585.1	 1.7	88.46153846153847	0.8547008547008547	candidate division WOR-1 bacterium RIFOXYB2_FULL_46_45	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__;g__;s__	bacteria06459.fna
bacteria06463	GCA_001771665.1	1.81	87.6068376068376	1.7094017094017093	candidate division WOR-1 bacterium RIFOXYC2_FULL_41_25	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__O2-12-FULL-45-9;f__O2-12-FULL-45-9;g__;s__	bacteria06463.fna
bacteria06464	GCA_001771695.1	 1.7	89.31623931623932	0.8547008547008547	candidate division WOR-1 bacterium RIFOXYC2_FULL_46_14	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__;g__;s__	bacteria06464.fna
bacteria06500	GCA_001772415.1	1.78	88.03418803418803	1.7094017094017093	candidate division WOR-1 bacterium RIFOXYA2_FULL_41_14	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__O2-12-FULL-45-9;f__O2-12-FULL-45-9;g__;s__	bacteria06500.fna
bacteria06501	GCA_001772435.1	1.71	88.46153846153847	0.8547008547008547	candidate division WOR-1 bacterium RIFOXYA2_FULL_46_56	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__;g__;s__	bacteria06501.fna
bacteria06781	GCA_001778375.1	   3	93.19233311302048	1.1235955056179776	Candidatus Firestonebacteria bacterium RIFOXYD2_FULL_39_29	d__Bacteria;p__Firestonebacteria;c__D2-FULL-39-29;o__D2-FULL-39-29;f__D2-FULL-39-29;g__D2-FULL-39-29;s__	bacteria06781.fna
bacteria06881	GCA_001780375.1	3.13	94.31592861863847	2.247191011235955	Candidatus Firestonebacteria bacterium RIFOXYC2_FULL_39_67	d__Bacteria;p__Firestonebacteria;c__D2-FULL-39-29;o__D2-FULL-39-29;f__D2-FULL-39-29;g__D2-FULL-39-29;s__	bacteria06881.fna
bacteria07316	GCA_001789195.1	4.11	82.41758241758242	1.098901098901099	Candidatus Raymondbacteria bacterium RifOxyA12_full_50_37	d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__;g__;s__	bacteria07316.fna
