genome_name	original_name	genome_size	completeness	redundancy	NCBI_taxonomy	gtdb_taxonomy	GTDB_phylum	NCBI_phylum
archaea00944	GCA_003136075.1	2.16	92.19808949	5.22875817	Methanoregula sp.	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	Halobacterota	Euryarchaeota
archaea00966	GCA_003153835.1	1.92	76.96732026	0	Methanoregula sp.	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	Halobacterota	Euryarchaeota
archaea00981	GCA_003157895.1	2.03	90.28104575	0.163398693	Methanoregula sp.	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	Halobacterota	Euryarchaeota
archaea01023	GCA_003170075.1	1.92	99.54248366	1.525054466	Methanoregula sp.	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	Halobacterota	Euryarchaeota
archaea01029	GCA_003170975.1	2.05	83.87330317	1.836768896	Methanoregula sp.	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	Halobacterota	Euryarchaeota
archaea01057	K_DeepCast_300m_m2_069	6.07	90.53763441	21.72043011	Woesearchaeota	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__;s__	Desulfobacterota	Euryarchaeota
archaea01058	KMBP001A.conconct.206.contigs	2.46	89.75	3.390688259	Euryarchaeota	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__;s__	Halobacterota	Euryarchaeota
archaea01059	KMBP001E.conconct.310_sub.contigs	3.17	90.24384113	3.431372549	Euryarchaeota	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	Halobacterota	Euryarchaeota
archaea01060	M_DeepCast_400m_m1_009	2.4	95.64516129	6.129032258	Woesearchaeota	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria00190	2582580680	2.53	75.14367816	0.287356322	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__;s__	Actinobacteriota	Actinobacteria
bacteria00193	2582580684	3.07	77.19298246	0	Proteobacteria	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria00203	2582580694	2.54	63.94984326	0	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	Bacteroidota	Bacteroidetes
bacteria00229	2593339183	3.8	93.36419753	0	Proteobacteria	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria00506	GCA_000007985.2	3.81	99.35483871	0	Geobacter sulfurreducens PCA 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__	Desulfuromonadota	Deltaproteobacteria
bacteria00725	GCA_000012925.1	4.01	99.41628264	0	Geobacter metallireducens GS-15 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__	Desulfuromonadota	Deltaproteobacteria
bacteria00749	GCA_000013405.1	3.18	96.42857143	3.870967742	Syntrophus aciditrophicus SB 	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__	Desulfobacterota	Deltaproteobacteria
bacteria00897	GCA_000016745.1	5.14	97.66001024	0	Geobacter uraniireducens Rf4 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_B;s__	Desulfuromonadota	Deltaproteobacteria
bacteria01071	GCA_000020725.1	4.62	99.78494624	0	Geobacter bemidjiensis Bem 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__	Desulfuromonadota	Deltaproteobacteria
bacteria01141	GCA_000022265.1	4.3	99.35483871	0	Geobacter daltonii FRC-32 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_B;s__	Desulfuromonadota	Deltaproteobacteria
bacteria01181	GCA_000023225.1	3.94	99.95590829	0	Desulfomicrobium baculatum DSM 4028 	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__	Desulfobacterota	Deltaproteobacteria
bacteria01199	GCA_000023645.1	4.75	100	0	Geobacter sp. M21 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__	Desulfuromonadota	Deltaproteobacteria
bacteria01616	GCA_000175115.2	5.28	100	0	Geobacter sp. M18 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__	Desulfuromonadota	Deltaproteobacteria
bacteria01626	GCA_000176915.2	3.63	99.40828402	0	Pseudodesulfovibrio aespoeensis Aspo-2 	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__	Desulfobacterota	Deltaproteobacteria
bacteria01635	GCA_000178115.2	3.01	97.31543624	0.33557047	Ethanoligenens harbinense YUAN-3 	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Ethanoligenens;s__	Firmicutes_A	Firmicutes
bacteria01699	GCA_000186885.1	3.85	99.15123457	0	Desulfobulbus propionicus DSM 2032 	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__	Desulfobacterota	Deltaproteobacteria
bacteria01708	GCA_000189295.2	3.86	100	0.591715976	Desulfovibrio desulfuricans ND132 	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__	Desulfobacterota	Deltaproteobacteria
bacteria01723	GCA_000190635.1	3.41	100	0.340136054	Syntrophobotulus glycolicus DSM 8271 	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__;s__	Firmicutes_B	Firmicutes
bacteria01866	GCA_000210155.1	3.71	99.35483871	0	Geobacter sulfurreducens KN400 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__	Desulfuromonadota	Deltaproteobacteria
bacteria01900	GCA_000212675.2	4.2	100	0	Desulfovibrio africanus str. Walvis Bay 	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria02048	GCA_000231405.3	3.18	99.3622449	0.977891156	Desulfitobacterium metallireducens DSM 15288 	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__;s__	Firmicutes_B	Firmicutes
bacteria02069	GCA_000235605.1	5.86	99.17091837	0.510204082	Desulfosporosinus orientis DSM 765 	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	Firmicutes_B	Firmicutes
bacteria02134	GCA_000243135.3	3.62	97.95918367	1.360544218	Desulfitobacterium dichloroeliminans LMG P-21439 	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__	Firmicutes_B	Firmicutes
bacteria02135	GCA_000243155.3	4.32	98.7244898	3.975340136	Desulfitobacterium dehalogenans ATCC 51507 	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__	Firmicutes_B	Firmicutes
bacteria02180	GCA_000255115.3	4.99	99.48979592	2.414965986	Desulfosporosinus acidiphilus SJ4 	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	Firmicutes_B	Firmicutes
bacteria02248	GCA_000266945.1	6.53	98.38709677	1.290322581	Desulfomonile tiedjei DSM 6799 	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__;f__;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria02472	GCA_000305775.1	3.07	99.93622449	0	Dehalobacter sp. DCA 	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__;s__	Firmicutes_B	Firmicutes
bacteria02474	GCA_000305815.1	3.09	99.93622449	0	Dehalobacter sp. CF 	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__;s__	Firmicutes_B	Firmicutes
bacteria02631	GCA_000341655.1	1.43	99.00990099	0	Dehalococcoides mccartyi DCMB5 	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__	Chloroflexota	Chloroflexi
bacteria03013	GCA_000512895.1	2.94	99.93622449	0.467687075	Dehalobacter restrictus DSM 9455 	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__;s__	Firmicutes_B	Firmicutes
bacteria03712	GCA_000817955.1	3.62	99.83870968	0	Geobacter pickeringii 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__	Desulfuromonadota	Deltaproteobacteria
bacteria04577	GCA_001278055.1	3.96	99.03225806	0.64516129	Desulfuromonas soudanensis 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae_A;g__;s__	Desulfuromonadota	Deltaproteobacteria
bacteria05209	GCA_001563225.1	3.97	98.81656805	0	Pseudodesulfovibrio indicus 	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__	Desulfobacterota	Deltaproteobacteria
bacteria05316	GCA_001595385.3	2.79	94.83870968	1.935483871	Deltaproteobacteria bacterium GWC2_55_46	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__GWC2-55-46;s__	GWC2-55-46	Deltaproteobacteria
bacteria05416	GCA_001611275.1	3.92	99.35483871	0	Desulfuromonas sp. DDH964 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__;g__;s__	Desulfuromonadota	Deltaproteobacteria
bacteria05491	GCA_001628815.1	3.67	97.84946237	0	Geobacter anodireducens 	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__	Desulfuromonadota	Deltaproteobacteria
bacteria06288	GCA_001768155.1	4.12	77.60426849	2.965135223	Bacteroidetes bacterium GWA2_30_7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GWF2-33-38;g__GWA2-31-9;s__	Bacteroidota	Bacteroidetes
bacteria06329	GCA_001768975.1	4.96	91.28306878	1.19047619	Bacteroidetes bacterium GWA2_31_9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GWF2-33-38;g__GWA2-31-9;s__	Bacteroidota	Bacteroidetes
bacteria06331	GCA_001769035.1	4.77	95.47619048	1.19047619	Bacteroidetes bacterium GWA2_32_17	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GWA2-32-17;g__GWA2-32-17;s__	Bacteroidota	Bacteroidetes
bacteria06336	GCA_001769125.1	5.98	98.38709677	1.075268817	Bacteroidetes bacterium GWF2_35_48	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	Bacteroidota	Bacteroidetes
bacteria06350	GCA_001769395.1	5.19	92.83154122	1.612903226	Bacteroidetes bacterium RIFOXYA12_FULL_35_11	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	Bacteroidota	Bacteroidetes
bacteria06360	GCA_001769615.1	2.64	37.14814815	2.666666667	Bacteroidetes bacterium RBG_13_46_8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	Bacteroidota	Bacteroidetes
bacteria06369	GCA_001769785.1	5.36	86.29195178	4.211469534	Bacteroidetes bacterium RIFOXYC12_FULL_35_7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	Bacteroidota	Bacteroidetes
bacteria06383	GCA_001770075.1	3.66	85.37450397	3.645833333	Bdellovibrionales bacterium RIFOXYC1_FULL_54_43	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__UBA1018;f__UBA1018;g__;s__	Bdellovibrionota	Deltaproteobacteria
bacteria06389	GCA_001770175.1	3.69	82.68229167	0.892857143	Bdellovibrionales bacterium RIFOXYD1_FULL_55_31	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__UBA1018;f__UBA1018;g__;s__	Bdellovibrionota	Deltaproteobacteria
bacteria06441	GCA_001771235.1	3.94	85.10019392	0	candidate division KSB1 bacterium RBG_16_48_16	d__Bacteria;p__KSB1;c__UBA2214;o__UBA2214;f__UBA2214;g__;s__	KSB1	KSB1
bacteria06450	GCA_001771415.1	1.72	88.46153846	0.854700855	candidate division WOR-1 bacterium RIFOXYA12_FULL_43_27	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__;g__;s__	Margulisbacteria	WOR1
bacteria06457	GCA_001771545.1	1.79	88.03418803	1.709401709	candidate division WOR-1 bacterium RIFOXYB2_FULL_42_35	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__O2-12-FULL-45-9;f__O2-12-FULL-45-9;g__;s__	Margulisbacteria	WOR1
bacteria06459	GCA_001771585.1	1.7	88.46153846	0.854700855	candidate division WOR-1 bacterium RIFOXYB2_FULL_46_45	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__;g__;s__	Margulisbacteria	WOR1
bacteria06463	GCA_001771665.1	1.81	87.60683761	1.709401709	candidate division WOR-1 bacterium RIFOXYC2_FULL_41_25	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__O2-12-FULL-45-9;f__O2-12-FULL-45-9;g__;s__	Margulisbacteria	WOR1
bacteria06464	GCA_001771695.1	1.7	89.31623932	0.854700855	candidate division WOR-1 bacterium RIFOXYC2_FULL_46_14	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__;g__;s__	Margulisbacteria	WOR1
