genome_name	taxonomy
GCA_000007525.1	Bifidobacterium longum NCC2705 
GCA_000007545.1	Salmonella enterica subsp. enterica serovar Typhi str. Ty2 
GCA_000007585.1	Porphyromonas gingivalis W83 
GCA_000007605.1	Chlamydophila caviae GPIC 
GCA_000007625.1	Clostridium tetani E88 
GCA_000007645.1	Staphylococcus epidermidis ATCC 12228 
GCA_000007665.1	Leifsonia xyli subsp. xyli str. CTCB07 
GCA_000007685.1	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130 
GCA_000007705.1	Chromobacterium violaceum ATCC 12472 
GCA_000007725.1	Buchnera aphidicola str. Bp  
GCA_000007745.1	Mannheimia succiniciproducens MBEL55E 
GCA_000007765.2	Coxiella burnetii RSA 493 
GCA_000007785.1	Enterococcus faecalis V583 
GCA_000007805.1	Pseudomonas syringae pv. tomato str. DC3000 
GCA_000007825.1	Bacillus cereus ATCC 14579 
GCA_000007845.1	Bacillus anthracis str. Ames 
GCA_000007865.1	Mycobacterium avium subsp. paratuberculosis K-10 
GCA_000007885.1	Yersinia pestis biovar Microtus str. 91001 
GCA_000007905.1	Helicobacter hepaticus ATCC 51449 
GCA_000007925.1	Prochlorococcus marinus subsp. marinus str. CCMP1375 
GCA_000007945.1	[Haemophilus] ducreyi 35000HP 
GCA_000007985.2	Geobacter sulfurreducens PCA 
GCA_000008005.1	Bacillus cereus ATCC 10987 
GCA_000008025.1	Wolbachia endosymbiont of Drosophila melanogaster 
GCA_000008045.1	Rickettsia typhi str. Wilmington 
GCA_000008065.1	Lactobacillus johnsonii NCC 533 
GCA_000008085.1	Nanoarchaeum equitans Kin4-M 
GCA_000008105.1	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67 
GCA_000008125.1	Thermus thermophilus HB27 
GCA_000008145.1	Brucella abortus bv. 1 str. 9-941 
GCA_000008165.1	Bacillus anthracis str. Sterne 
GCA_000008185.1	Treponema denticola ATCC 35405 
GCA_000008205.1	Mycoplasma hyopneumoniae J 
GCA_000008225.1	Mycoplasma hyopneumoniae 7448 
GCA_000008245.1	Mycoplasma synoviae 53 
GCA_000008265.1	Picrophilus torridus DSM 9790 
GCA_000008285.1	Listeria monocytogenes serotype 4b str. F2365 
GCA_000008305.1	Mesoplasma florum L1 
GCA_000008325.1	Methylococcus capsulatus str. Bath 
GCA_000008345.1	Propionibacterium acnes KPA171202 
GCA_000008365.1	Mycoplasma mobile 163K 
GCA_000008385.1	Wolbachia endosymbiont strain TRS of Brugia malayi 
GCA_000008405.1	Mycoplasma hyopneumoniae 232 
GCA_000008425.1	Bacillus licheniformis DSM 13 = ATCC 14580 
GCA_000008445.1	Bacillus anthracis str. 'Ames Ancestor' 
GCA_000008465.1	Idiomarina loihiensis L2TR 
GCA_000008485.1	Legionella pneumophila subsp. pneumophila str. Philadelphia 1 
GCA_000008505.1	[Bacillus thuringiensis] serovar konkukian str. 97-27 
GCA_000008525.1	Helicobacter pylori 26695 
GCA_000008545.1	Thermotoga maritima MSB8 
GCA_000008565.1	Deinococcus radiodurans R1 
GCA_000008585.1	Mycobacterium tuberculosis CDC1551 
GCA_000008605.1	Treponema pallidum subsp. pallidum str. Nichols 
GCA_000008625.1	Aquifex aeolicus VF5 
GCA_000008645.1	Methanothermobacter thermautotrophicus str. Delta H 
GCA_000008665.1	Archaeoglobus fulgidus DSM 4304 
GCA_000008685.2	Borreliella burgdorferi B31 
GCA_000008725.1	Chlamydia trachomatis D/UW-3/CX 
GCA_000008745.1	Chlamydophila pneumoniae CWL029 
GCA_000008765.1	Clostridium acetobutylicum ATCC 824 
GCA_000008785.1	Helicobacter pylori J99 
GCA_000008805.1	Neisseria meningitidis MC58 
GCA_000008865.2	
GCA_000008885.1	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis 
GCA_000008925.1	Lactobacillus salivarius UCC118 
GCA_000008945.1	Bifidobacterium longum DJO10A 
GCA_000008985.1	Francisella tularensis subsp. tularensis SCHU S4 
GCA_000009005.1	Staphylococcus aureus RF122 
GCA_000009025.1	Dehalococcoides mccartyi CBDB1 
GCA_000009045.1	Bacillus subtilis subsp. subtilis str. 168 
GCA_000009065.1	Yersinia pestis CO92 
GCA_000009105.1	Neisseria meningitidis Z2491 
GCA_000009145.1	Nitrosomonas europaea ATCC 19718 
GCA_000009165.1	Xanthomonas campestris pv. vesicatoria str. 85-10 
GCA_000009185.1	Haloquadratum walsbyi DSM 16790 
GCA_000009205.2	Clostridioides difficile 630 
GCA_000009225.1	Pseudomonas fluorescens SBW25 
GCA_000009245.1	Francisella tularensis subsp. holarctica LVS 
GCA_000009265.1	Rhizobium leguminosarum bv. viciae 3841 
GCA_000009285.2	Ralstonia eutropha H16 
GCA_000009305.1	Helicobacter acinonychis str. Sheeba 
GCA_000009325.1	Francisella tularensis subsp. tularensis FSC198 
GCA_000009345.1	Yersinia enterocolitica subsp. enterocolitica 8081 
GCA_000009365.1	Alcanivorax borkumensis SK2 
GCA_000009385.1	Streptococcus pyogenes str. Manfredo 
GCA_000009405.1	Staphylococcus carnosus subsp. carnosus TM300 
GCA_000009425.1	Lactococcus lactis subsp. cremoris MG1363 
GCA_000009445.1	Mycobacterium bovis BCG str. Pasteur 1173P2 
GCA_000009465.1	Neisseria meningitidis FAM18 
GCA_000009485.1	Burkholderia cenocepacia J2315 
GCA_000009505.1	Salmonella enterica subsp. enterica serovar Enteritidis str. P125109 
GCA_000009525.1	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91 
GCA_000009545.1	Streptococcus uberis 0140J 
GCA_000009565.2	Escherichia coli BL21 
GCA_000009585.1	Staphylococcus aureus subsp. aureus ST398 
GCA_000009605.1	Buchnera aphidicola str. APS  
GCA_000009625.1	Mesorhizobium loti MAFF303099 
GCA_000009645.1	Staphylococcus aureus subsp. aureus N315 
GCA_000009665.1	Staphylococcus aureus subsp. aureus Mu50 
GCA_000009685.1	Clostridium perfringens str. 13 
GCA_000009705.1	Nostoc sp. PCC 7120 
GCA_000009725.1	Synechocystis sp. PCC 6803 
GCA_000009745.1	Vibrio vulnificus YJ016 
GCA_000009765.2	Streptomyces avermitilis MA-4680 = NBRC 14893 
GCA_000009785.1	Geobacillus kaustophilus HTA426 
GCA_000009805.1	Nocardia farcinica IFM 10152 
GCA_000009825.1	Bacillus clausii KSM-K16 
GCA_000009845.1	Onion yellows phytoplasma OY-M 
GCA_000009865.1	Staphylococcus haemolyticus JCSC1435 
GCA_000009905.1	Symbiobacterium thermophilum IAM 14863 
GCA_000009925.1	Bacteroides fragilis YCH46 
GCA_000009945.1	Chlamydia felis Fe/C-56 
GCA_000009965.1	Thermococcus kodakarensis KOD1 
GCA_000009985.1	Magnetospirillum magneticum AMB-1 
GCA_000010005.1	Lactobacillus reuteri JCM 1112 
GCA_000010025.1	Xanthomonas oryzae pv. oryzae MAFF 311018 
GCA_000010045.1	Desulfitobacterium hafniense Y51 
GCA_000010065.1	Synechococcus elongatus PCC 6301 
GCA_000010085.1	Sodalis glossinidius str. 'morsitans' 
GCA_000010105.1	Rhodococcus erythropolis PR4 
GCA_000010125.1	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 
GCA_000010145.1	Lactobacillus fermentum IFO 3956 
GCA_000010165.1	Brevibacillus brevis NBRC 100599 
GCA_000010185.1	Finegoldia magna ATCC 29328 
GCA_000010205.1	Orientia tsutsugamushi str. Ikeda 
GCA_000010225.1	Corynebacterium glutamicum R 
GCA_000010245.1	Escherichia coli str. K-12 substr. W3110 
GCA_000010265.1	Clostridium kluyveri NBRC 12016 
GCA_000010285.1	Kocuria rhizophila DC2201 
GCA_000010305.1	Gemmatimonas aurantiaca T-27 
GCA_000010325.1	Nitratiruptor sp. SB155-2 
GCA_000010345.1	Sulfurovum sp. NBC37-1 
GCA_000010365.1	Candidatus Carsonella ruddii PV 
GCA_000010385.1	Escherichia coli SE11 
GCA_000010405.1	Candidatus Vesicomyosocius okutanii HA 
GCA_000010425.1	Bifidobacterium adolescentis ATCC 15703 
GCA_000010445.1	Staphylococcus aureus subsp. aureus Mu3 
GCA_000010465.1	Staphylococcus aureus subsp. aureus str. Newman 
GCA_000010485.1	Escherichia coli SE15 
GCA_000010505.1	Porphyromonas gingivalis ATCC 33277 
GCA_000010525.1	Azorhizobium caulinodans ORS 571 
GCA_000010545.1	Burkholderia multivorans ATCC 17616 
GCA_000010565.1	Pelotomaculum thermopropionicum SI 
GCA_000010585.1	Macrococcus caseolyticus JCSC5402 
GCA_000010605.1	Streptomyces griseus subsp. griseus NBRC 13350 
GCA_000010625.1	Microcystis aeruginosa NIES-843 
GCA_000010645.1	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2 
GCA_000010665.1	Desulfovibrio magneticus RS-1 
GCA_000010685.1	Mycobacterium bovis BCG str. Tokyo 172 
GCA_000010705.1	Streptococcus dysgalactiae subsp. equisimilis GGS 124 
GCA_000010725.1	Azospirillum sp. B510 
GCA_000010745.1	
GCA_000010765.1	
GCA_000010785.1	Hydrogenobacter thermophilus TK-6 
GCA_000010805.1	Rhodococcus opacus B4 
GCA_000010825.1	Acetobacter pasteurianus IFO 3283-01 
GCA_000010845.1	Acetobacter pasteurianus IFO 3283-03 
GCA_000010865.1	Acetobacter pasteurianus IFO 3283-07 
GCA_000010885.1	Acetobacter pasteurianus IFO 3283-22 
GCA_000010905.1	Acetobacter pasteurianus IFO 3283-26 
GCA_000010925.1	Acetobacter pasteurianus IFO 3283-32 
GCA_000010945.1	Acetobacter pasteurianus IFO 3283-01-42C 
GCA_000010965.1	Acetobacter pasteurianus IFO 3283-12 
GCA_000010985.1	Deferribacter desulfuricans SSM1 
GCA_000011005.1	Methanocella paludicola SANAE 
GCA_000011025.1	Rothia mucilaginosa DY-18 
GCA_000011045.1	Lactobacillus rhamnosus GG 
GCA_000011065.1	Bacteroides thetaiotaomicron VPI-5482 
GCA_000011085.1	Haloarcula marismortui ATCC 43049 
GCA_000011105.1	Pyrococcus horikoshii OT3 
GCA_000011125.1	Aeropyrum pernix K1 
GCA_000011145.1	Bacillus halodurans C-125 
GCA_000011165.1	Chlamydophila pneumoniae J138 
GCA_000011185.1	Thermoplasma volcanium GSS1 
GCA_000011205.1	Sulfolobus tokodaii str. 7 
GCA_000011225.1	Mycoplasma penetrans HF-2 
GCA_000011245.1	Oceanobacillus iheyensis HTE831 
GCA_000011265.1	Staphylococcus aureus subsp. aureus MW2 
GCA_000011285.1	Streptococcus pyogenes SSI-1 
GCA_000011305.1	Corynebacterium efficiens YS-314 
GCA_000011325.1	Corynebacterium glutamicum ATCC 13032 
GCA_000011345.1	Thermosynechococcus elongatus BP-1 
GCA_000011365.1	Bradyrhizobium diazoefficiens USDA 110 
GCA_000011385.1	Gloeobacter violaceus PCC 7421 
GCA_000011405.1	Francisella tularensis subsp. holarctica OSU18 
GCA_000011445.1	Mycoplasma mycoides subsp. mycoides SC str. PG1 
GCA_000011465.1	Prochlorococcus marinus subsp. pastoris str. CCMP1986 
GCA_000011485.1	Prochlorococcus marinus str. MIT 9313 
GCA_000011505.1	Staphylococcus aureus subsp. aureus MRSA252 
GCA_000011525.1	Staphylococcus aureus subsp. aureus MSSA476 
GCA_000011545.1	Burkholderia pseudomallei K96243 
GCA_000011585.1	Methanococcus maripaludis S2 
GCA_000011605.1	Pectobacterium atrosepticum SCRI1043 
GCA_000011625.1	Bacillus cereus E33L 
GCA_000011645.1	Bacillus licheniformis DSM 13 = ATCC 14580 
GCA_000011665.1	Streptococcus pyogenes MGAS10394 
GCA_000011685.1	Gluconobacter oxydans 621H 
GCA_000011705.1	Burkholderia mallei ATCC 23344 
GCA_000011725.1	Helicobacter pylori 51 
GCA_000011745.1	Candidatus Blochmannia pennsylvanicus str. BPEN 
GCA_000011765.2	Streptococcus pyogenes MGAS5005 
GCA_000011785.1	Haemophilus somnus 129PT 
GCA_000011805.1	Vibrio fischeri ES114 
GCA_000011825.1	Streptococcus thermophilus LMG 18311 
GCA_000011845.1	Streptococcus thermophilus CNRZ1066 
GCA_000011885.1	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150 
GCA_000011905.1	Dehalococcoides mccartyi 195 
GCA_000011925.1	Staphylococcus epidermidis RP62A 
GCA_000011945.1	Anaplasma marginale str. St. Maries 
GCA_000011965.2	Ruegeria pomeroyi DSS-3 
GCA_000011985.1	Lactobacillus acidophilus NCFM 
GCA_000012005.1	Shigella dysenteriae Sd197 
GCA_000012025.1	Shigella boydii Sb227 
GCA_000012045.1	Staphylococcus aureus subsp. aureus COL 
GCA_000012085.2	Borrelia turicatae 91E135 
GCA_000012105.1	Xanthomonas campestris pv. campestris str. 8004 
GCA_000012125.1	Chlamydia trachomatis A/HAR-13 
GCA_000012145.1	Rickettsia felis URRWXCal2 
GCA_000012165.1	Streptococcus pyogenes MGAS6180 
GCA_000012185.1	Haemophilus influenzae 86-028NP 
GCA_000012205.1	Pseudomonas savastanoi pv. phaseolicola 1448A 
GCA_000012225.1	Aster yellows witches'-broom phytoplasma AYWB 
GCA_000012245.1	Pseudomonas syringae pv. syringae B728a 
GCA_000012265.1	Pseudomonas protegens Pf-5 
GCA_000012285.1	Sulfolobus acidocaldarius DSM 639 
GCA_000012305.1	Psychrobacter arcticus 273-4 
GCA_000012325.1	Colwellia psychrerythraea 34H 
GCA_000012345.1	Candidatus Pelagibacter ubique HTCC1062 
GCA_000012365.1	Burkholderia thailandensis E264 
GCA_000012385.1	Rickettsia bellii RML369-C 
GCA_000012405.1	Thermobifida fusca YX 
GCA_000012425.1	Dechloromonas aromatica RCB 
GCA_000012445.1	Pseudomonas fluorescens Pf0-1 
GCA_000012465.1	Prochlorococcus marinus str. NATL2A 
GCA_000012485.1	Chlorobium luteolum DSM 273 
GCA_000012505.1	Synechococcus sp. CC9902 
GCA_000012525.1	Synechococcus elongatus PCC 7942 
GCA_000012545.1	Methanosphaera stadtmanae DSM 3091 
GCA_000012565.1	Ehrlichia canis str. Jake 
GCA_000012585.1	Chlorobium chlorochromatii CaD3 
GCA_000012605.1	Hydrogenovibrio crunogenus XCL-2 
GCA_000012625.1	Synechococcus sp. CC9605 
GCA_000012645.1	Prochlorococcus marinus str. MIT 9312 
GCA_000012665.1	Desulfovibrio alaskensis G20 
GCA_000012685.1	Myxococcus xanthus DK 1622 
GCA_000012705.1	Streptococcus agalactiae A909 
GCA_000012725.1	Nitrobacter winogradskyi Nb-255 
GCA_000012745.1	Thiobacillus denitrificans ATCC 25259 
GCA_000012765.1	Mycoplasma capricolum subsp. capricolum ATCC 27343 
GCA_000012785.1	Burkholderia pseudomallei 1710b 
GCA_000012805.1	Nitrosococcus oceani ATCC 19707 
GCA_000012825.1	Bacteroides vulgatus ATCC 8482 
GCA_000012845.1	Parabacteroides distasonis ATCC 8503 
GCA_000012865.1	Carboxydothermus hydrogenoformans Z-2901 
GCA_000012885.1	Pelobacter carbinolicus DSM 2380 
GCA_000012925.1	Geobacter metallireducens GS-15 
GCA_000012945.1	Burkholderia lata 
GCA_000012965.1	Sulfurimonas denitrificans DSM 1251 
GCA_000012985.1	Hahella chejuensis KCTC 2396 
GCA_000013005.1	Erythrobacter litoralis HTCC2594 
GCA_000013025.1	Hyphomonas neptunium ATCC 15444 
GCA_000013045.1	Salinibacter ruber DSM 13855 
GCA_000013065.1	Bacillus cereus Q1 
GCA_000013085.1	Rhodospirillum rubrum ATCC 11170 
GCA_000013105.1	Moorella thermoacetica ATCC 39073 
GCA_000013125.1	Anaplasma phagocytophilum str. HZ 
GCA_000013145.1	Ehrlichia chaffeensis str. Arkansas 
GCA_000013165.1	Neorickettsia sennetsu str. Miyayama 
GCA_000013185.1	Baumannia cicadellinicola str. Hc  
GCA_000013205.1	Synechococcus sp. JA-3-3Ab 
GCA_000013225.1	Synechococcus sp. JA-2-3B'a 
GCA_000013245.1	Helicobacter pylori HPAG1 
GCA_000013265.1	Escherichia coli UTI89 
GCA_000013285.1	Clostridium perfringens ATCC 13124 
GCA_000013305.1	Escherichia coli 536 
GCA_000013325.1	Novosphingobium aromaticivorans DSM 12444 
GCA_000013345.1	Frankia casuarinae 
GCA_000013365.1	Rhodopseudomonas palustris HaA2 
GCA_000013385.1	Anaeromyxobacter dehalogenans 2CP-C 
GCA_000013405.1	Syntrophus aciditrophicus SB 
GCA_000013425.1	Staphylococcus aureus subsp. aureus NCTC 8325 
GCA_000013445.1	Methanospirillum hungatei JF-1 
GCA_000013465.1	Staphylococcus aureus subsp. aureus USA300 FPR3757 
GCA_000013485.1	Streptococcus pyogenes MGAS9429 
GCA_000013505.1	Streptococcus pyogenes MGAS10270 
GCA_000013525.1	Streptococcus pyogenes MGAS2096 
GCA_000013545.1	Streptococcus pyogenes MGAS10750 
GCA_000013565.1	Jannaschia sp. CCS1 
GCA_000013585.1	Shigella flexneri 5 str. 8401 
GCA_000013605.1	Rhodoferax ferrireducens T118 
GCA_000013625.1	Janthinobacterium sp. Marseille 
GCA_000013645.1	Paraburkholderia xenovorans LB400 
GCA_000013665.1	Saccharophagus degradans 2-40 
GCA_000013685.1	Rhodopseudomonas palustris BisB5 
GCA_000013705.1	Methylobacillus flagellatus KT 
GCA_000013725.1	Methanococcoides burtonii DSM 6242 
GCA_000013745.1	Rhodopseudomonas palustris BisB18 
GCA_000013765.1	Shewanella denitrificans OS217 
GCA_000013785.1	Pseudomonas stutzeri A1501 
GCA_000013805.1	Yersinia pestis Nepal516 
GCA_000013825.1	Yersinia pestis Antiqua 
GCA_000013845.2	Clostridium perfringens SM101 
GCA_000013865.1	Polaromonas sp. JS666 
GCA_000013885.1	Nitrobacter hamburgensis X14 
GCA_000013905.1	Psychrobacter cryohalolentis K5 
GCA_000013925.2	Mycobacterium ulcerans Agy99 
GCA_000013945.1	Leptospira borgpetersenii serovar Hardjo-bovis str. L550 
GCA_000013965.1	Leptospira borgpetersenii serovar Hardjo-bovis str. JB197 
GCA_000013985.1	Sphingopyxis alaskensis RB2256 
GCA_000014005.1	Candidatus Koribacter versatilis Ellin345 
GCA_000014025.1	Arcobacter butzleri RM4018 
GCA_000014045.1	Roseobacter denitrificans OCh 114 
GCA_000014065.1	Ruegeria sp. TM1040 
GCA_000014085.1	Burkholderia cenocepacia AU 1054 
GCA_000014105.1	Neisseria meningitidis 053442 
GCA_000014125.1	Clostridium novyi NT 
GCA_000014145.1	Cytophaga hutchinsonii ATCC 33406 
GCA_000014165.1	Mycobacterium sp. MCS 
GCA_000014185.1	Rubrobacter xylanophilus DSM 9941 
GCA_000014205.1	Streptococcus sanguinis SK36 
GCA_000014225.1	Pseudoalteromonas atlantica T6c 
GCA_000014245.1	Chelativorans sp. BNC1 
GCA_000014265.1	Trichodesmium erythraeum IMS101 
GCA_000014285.2	Granulibacter bethesdensis CGDNIH1 
GCA_000014305.1	Streptococcus suis 05ZYH33 
GCA_000014325.1	Streptococcus suis 98HAH33 
GCA_000014345.1	Rickettsia canadensis str. McKiel 
GCA_000014365.2	Streptococcus pneumoniae D39 
GCA_000014385.1	Oenococcus oeni PSU-1 
GCA_000014405.1	Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365 
GCA_000014425.1	Lactobacillus gasseri ATCC 33323 = JCM 1131 
GCA_000014445.1	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293 
GCA_000014465.1	Lactobacillus brevis ATCC 367 
GCA_000014485.1	Streptococcus thermophilus LMD-9 
GCA_000014505.1	Pediococcus pentosaceus ATCC 25745 
GCA_000014525.1	Lactobacillus paracasei ATCC 334 
GCA_000014545.1	Lactococcus lactis subsp. cremoris SK11 
GCA_000014565.1	Rhodococcus jostii RHA1 
GCA_000014585.1	Synechococcus sp. CC9311 
GCA_000014605.1	Francisella tularensis subsp. holarctica OSU18 
GCA_000014625.1	Pseudomonas aeruginosa UCBPP-PA14 
GCA_000014645.1	Francisella tularensis subsp. novicida U112 
GCA_000014665.1	Shewanella sp. MR-7 
GCA_000014685.1	Shewanella sp. MR-4 
GCA_000014705.1	Shewanella frigidimarina NCIMB 400 
GCA_000014725.1	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311 
GCA_000014745.1	Maricaulis maris MCS10 
GCA_000014765.1	Nitrosomonas eutropha C91 
GCA_000014785.1	Alkalilimnicola ehrlichii MLHE-1 
GCA_000014805.1	Aeromonas hydrophila subsp. hydrophila ATCC 7966 
GCA_000014825.1	Rhodopseudomonas palustris BisA53 
GCA_000014845.1	Escherichia coli APEC O1 
GCA_000014865.1	Magnetococcus marinus MC-1 
GCA_000014885.1	Shewanella piezotolerans WP3 
GCA_000014905.1	Candidatus Solibacter usitatus Ellin6076 
GCA_000014925.1	Paenarthrobacter aurescens TC1 
GCA_000014945.1	Methanosaeta thermophila PT 
GCA_000014965.1	Syntrophobacter fumaroxidans MPOB 
GCA_000014985.1	Mycobacterium avium 104 
GCA_000015005.1	Mycobacterium smegmatis str. MC2 155 
GCA_000015025.1	Acidothermus cellulolyticus 11B 
GCA_000015045.1	Pelobacter propionicus DSM 2379 
GCA_000015065.1	Bacillus thuringiensis str. Al Hakam 
GCA_000015085.1	Campylobacter fetus subsp. fetus 82-40 
GCA_000015105.1	Candidatus Ruthia magnifica str. Cm  
GCA_000015125.1	Chlorobium phaeobacteroides DSM 266 
GCA_000015145.1	Hyperthermus butylicus DSM 5456 
GCA_000015165.1	Bradyrhizobium sp. BTAi1 
GCA_000015185.1	Shewanella sp. W3-18-1 
GCA_000015205.1	Pyrobaculum islandicum DSM 4184 
GCA_000015225.1	Thermofilum pendens Hrk 5 
GCA_000015245.1	Shewanella amazonensis SB2B 
GCA_000015265.1	Nocardioides sp. JS614 
GCA_000015285.1	Psychromonas ingrahamii 37 
GCA_000015305.1	Mycobacterium vanbaalenii PYR-1 
GCA_000015325.1	Acidovorax citrulli AAC00-1 
GCA_000015345.1	Dichelobacter nodosus VCS1703A 
GCA_000015365.1	Marinobacter hydrocarbonoclasticus VT8 
GCA_000015385.1	Lactobacillus helveticus DPC 4571 
GCA_000015405.1	Mycobacterium sp. KMS 
GCA_000015425.1	Acinetobacter baumannii ATCC 17978 
GCA_000015445.1	Bartonella bacilliformis KC583 
GCA_000015465.1	Burkholderia mallei SAVP1 
GCA_000015485.1	Desulfovibrio vulgaris DP4 
GCA_000015505.1	Polaromonas naphthalenivorans CJ2 
GCA_000015545.1	Acidovorax sp. JS42 
GCA_000015565.1	Verminephrobacter eiseniae EF01-2 
GCA_000015585.1	Halorhodospira halophila SL1 
GCA_000015605.1	Burkholderia mallei NCTC 10229 
GCA_000015625.1	Burkholderia mallei NCTC 10247 
GCA_000015645.1	Prochlorococcus marinus str. AS9601 
GCA_000015665.1	Prochlorococcus marinus str. MIT 9515 
GCA_000015685.1	Prochlorococcus marinus str. NATL1A 
GCA_000015705.1	Prochlorococcus marinus str. MIT 9303 
GCA_000015725.1	Methylibium petroleiphilum PM1 
GCA_000015745.1	Geobacillus thermodenitrificans NG80-2 
GCA_000015765.1	Methanocorpusculum labreanum Z 
GCA_000015785.1	Bacillus velezensis FZB42 
GCA_000015805.1	Pyrobaculum calidifontis JCM 11548 
GCA_000015825.1	Methanoculleus marisnigri JR1 
GCA_000015845.1	Shewanella baltica OS155 
GCA_000015865.1	Ruminiclostridium thermocellum ATCC 27405 
GCA_000015885.1	Actinobacillus pleuropneumoniae serovar 5b str. L20 
GCA_000015905.1	Burkholderia pseudomallei 668 
GCA_000015925.1	Burkholderia pseudomallei 1106a 
GCA_000015945.1	Staphylothermus marinus F1 
GCA_000015965.1	Prochlorococcus marinus str. MIT 9301 
GCA_000015985.1	Rhodobacter sphaeroides ATCC 17029 
GCA_000016005.1	Mycobacterium sp. JLS 
GCA_000016045.1	Salmonella enterica subsp. enterica serovar Newport str. SL254 
GCA_000016065.1	Shewanella loihica PV-4 
GCA_000016085.1	Chlorobium phaeovibrioides DSM 265 
GCA_000016105.1	Francisella tularensis subsp. tularensis WY96-3418 
GCA_000016125.1	Methanococcus maripaludis C5 
GCA_000016145.1	Mycobacterium tuberculosis H37Ra 
GCA_000016165.1	Desulfotomaculum reducens MI-1 
GCA_000016185.1	Rhodospirillum centenum SW 
GCA_000016205.1	Burkholderia vietnamiensis G4 
GCA_000016245.1	Vibrio cholerae O395 
GCA_000016265.1	Agrobacterium radiobacter K84 
GCA_000016285.1	Agrobacterium vitis S4 
GCA_000016325.1	Enterobacter sp. 638 
GCA_000016345.1	Polynucleobacter asymbioticus QLW-P1DMWA-1 
GCA_000016365.1	Mycobacterium gilvum PYR-GCK 
GCA_000016385.1	Pyrobaculum arsenaticum DSM 13514 
GCA_000016405.1	Rhodobacter sphaeroides ATCC 17025 
GCA_000016425.1	Salinispora tropica CNB-440 
GCA_000016445.1	Yersinia pestis Pestoides F 
GCA_000016465.1	Haemophilus influenzae PittEE 
GCA_000016485.1	Haemophilus influenzae PittGG 
GCA_000016505.1	Clostridium kluyveri DSM 555 
GCA_000016525.1	Methanobrevibacter smithii ATCC 35061 
