genome,phylum,codhC_TIGR00316,codhD_TIGR00381,codh_catalytic_TIGR01702
bacteria07731,Deltaproteobacteria,1,1,2
bacteria07733,Deltaproteobacteria,0,1,0
bacteria07738,Deltaproteobacteria,0,0,0
bacteria07739,Deltaproteobacteria,2,0,3
bacteria07743,Deltaproteobacteria,0,0,0
bacteria07753,Deltaproteobacteria,0,0,0
bacteria07754,Deltaproteobacteria,0,0,0
bacteria07767,Deltaproteobacteria,0,0,0
bacteria07776,Deltaproteobacteria,0,0,0
bacteria07777,Deltaproteobacteria,0,0,0
bacteria07782,Deltaproteobacteria,1,1,1
bacteria07783,Deltaproteobacteria,0,0,0
bacteria07791,Deltaproteobacteria,0,0,0
bacteria07807,Deltaproteobacteria,1,1,2
bacteria07809,Deltaproteobacteria,1,1,1
bacteria07810,Deltaproteobacteria,1,1,1
bacteria07814,Deltaproteobacteria,1,1,2
bacteria07815,Deltaproteobacteria,0,1,2
bacteria07820,Deltaproteobacteria,0,0,1
bacteria07821,Deltaproteobacteria,0,0,0
bacteria07828,Elusimicrobia,0,0,0
bacteria07830,Elusimicrobia,0,0,0
bacteria07831,Elusimicrobia,0,0,0
bacteria07832,Elusimicrobia,0,0,0
bacteria07835,Elusimicrobia,0,0,0
bacteria07840,Elusimicrobia,0,0,0
bacteria07857,Elusimicrobia,0,0,0
bacteria07861,Elusimicrobia,0,0,0
bacteria07867,Elusimicrobia,0,0,0
bacteria07868,Elusimicrobia,0,0,0
bacteria07869,Elusimicrobia,0,0,0
bacteria07870,Elusimicrobia,0,1,0
bacteria07941,Deltaproteobacteria,0,0,0
bacteria07943,Deltaproteobacteria,0,0,0
bacteria07997,Lentisphaerae,1,1,1
bacteria08000,Lentisphaerae,1,1,1
bacteria08015,Nitrospirae,0,0,0
bacteria08017,Nitrospirae,1,1,1
bacteria08020,Nitrospirae,0,0,0
bacteria08027,Nitrospirae,0,0,0
bacteria08032,Nitrospirae,0,1,1
bacteria08033,Nitrospirae,0,0,0
bacteria08078,Lentisphaerae,0,0,0
bacteria08079,Lentisphaerae,0,0,0
bacteria08090,Nitrospirae,1,1,1
bacteria08100,Nitrospirae,0,1,0
bacteria08141,Deltaproteobacteria,0,0,0
bacteria08617,Deltaproteobacteria,0,0,0
bacteria08626,Planctomycetes,1,0,0
bacteria08629,Planctomycetes,1,1,1
bacteria08669,Spirochaetes,0,0,0
bacteria08670,Spirochaetes,0,0,0
bacteria08671,Spirochaetes,0,0,0
bacteria08672,Spirochaetes,0,0,0
bacteria08673,Spirochaetes,0,1,0
bacteria08675,Spirochaetes,0,0,0
bacteria08677,Spirochaetes,0,0,0
bacteria08678,Spirochaetes,0,0,0
bacteria08679,Spirochaetes,0,0,0
bacteria08680,Spirochaetes,0,0,0
bacteria08681,Spirochaetes,0,0,0
bacteria08682,Spirochaetes,0,0,0
bacteria08683,Spirochaetes,0,0,0
bacteria08685,Spirochaetes,0,0,0
bacteria08687,Spirochaetes,1,1,1
bacteria08688,Spirochaetes,1,1,0
bacteria08689,Spirochaetes,0,0,0
bacteria08704,Deltaproteobacteria,1,1,1
bacteria08707,Deltaproteobacteria,1,1,1
bacteria08719,Spirochaetes,0,0,0
bacteria08741,Spirochaetes,0,0,0
bacteria08742,Spirochaetes,0,0,0
bacteria08743,Spirochaetes,0,0,0
bacteria08744,Spirochaetes,0,0,0
bacteria08753,Spirochaetes,1,1,1
bacteria08763,Spirochaetes,0,0,0
bacteria08785,Deltaproteobacteria,1,1,3
bacteria09073,Firmicutes,0,0,1
bacteria09687,Deltaproteobacteria,1,1,3
bacteria10831,Firmicutes,2,1,1
bacteria10932,Chloroflexi,1,0,1
bacteria11094,Firmicutes,0,0,0
bacteria11097,Deltaproteobacteria,0,0,1
bacteria11124,Deltaproteobacteria,0,0,1
bacteria11134,Firmicutes,0,0,0
bacteria11135,Deltaproteobacteria,0,0,1
bacteria11138,Deltaproteobacteria,1,1,2
bacteria11166,Aminicenantes,0,0,0
bacteria11222,Firmicutes,0,0,0
bacteria11230,Deltaproteobacteria,0,0,0
bacteria11269,Deltaproteobacteria,1,1,1
bacteria11313,Deltaproteobacteria,0,0,2
bacteria11328,Firmicutes,0,0,0
bacteria11330,Spirochaetes,0,1,1
bacteria11342,Spirochaetes,0,0,0
bacteria11343,Firmicutes,0,0,0
bacteria11556,Deltaproteobacteria,0,0,0
bacteria11782,Bacteroidetes,0,0,0
bacteria11886,Deltaproteobacteria,0,0,0
bacteria11908,Elusimicrobia,0,0,0
bacteria12041,Deltaproteobacteria,0,1,2
bacteria12051,Deltaproteobacteria,0,0,0
bacteria12076,Chloroflexi,1,1,1
bacteria12079,Deltaproteobacteria,1,0,0
bacteria12088,Deltaproteobacteria,1,1,2
bacteria12104,Deltaproteobacteria,0,0,1
bacteria12131,Deltaproteobacteria,1,1,2
bacteria12162,Firmicutes,0,0,0
bacteria12556,Firmicutes,0,0,0
bacteria12786,Deltaproteobacteria,0,0,0
bacteria12801,Actinobacteria,0,0,0
bacteria12864,Deltaproteobacteria,1,1,1
bacteria12866,Deltaproteobacteria,1,1,3
bacteria12873,Actinobacteria,0,0,0
bacteria12876,Firmicutes,0,1,1
bacteria12878,Deltaproteobacteria,0,0,0
bacteria12889,Deltaproteobacteria,0,0,0
bacteria12892,Deltaproteobacteria,1,1,2
bacteria12896,Deltaproteobacteria,1,1,1
bacteria12907,Chloroflexi,0,0,0
bacteria13121,Deltaproteobacteria,1,1,3
bacteria13733,Firmicutes,0,0,1
bacteria13742,Actinobacteria,0,0,0
bacteria14020,Firmicutes,0,0,2
bacteria14048,Firmicutes,0,0,1
bacteria14060,Firmicutes,0,0,2
bacteria14247,Chloroflexi,0,0,0
bacteria14256,Bacteroidetes,0,0,0
bacteria14269,Firmicutes,0,0,1
bacteria14303,Deltaproteobacteria,0,0,0
bacteria14306,Deltaproteobacteria,0,1,1
bacteria14310,Deltaproteobacteria,0,0,0
bacteria14315,Deltaproteobacteria,0,0,0
bacteria14343,Deltaproteobacteria,0,0,0
bacteria14344,Deltaproteobacteria,1,1,3
bacteria14346,Firmicutes,0,1,1
bacteria14347,Deltaproteobacteria,1,1,1
bacteria14368,Aminicenantes,0,0,0
bacteria14523,Firmicutes,0,0,1
bacteria14584,Firmicutes,0,0,1
bacteria15035,Deltaproteobacteria,0,0,0
bacteria15050,Deltaproteobacteria,0,0,1
bacteria15087,Synergistaceae,0,0,0
bacteria15094,Deltaproteobacteria,0,0,1
bacteria15105,Deltaproteobacteria,0,0,1
bacteria15146,Deltaproteobacteria,0,0,0
bacteria15155,Deltaproteobacteria,0,0,1
bacteria15189,Deltaproteobacteria,0,0,1
bacteria15208,Chloroflexi,1,1,1
bacteria15219,Deltaproteobacteria,1,0,0
bacteria15227,Deltaproteobacteria,0,0,0
bacteria15247,Firmicutes,0,0,0
bacteria15258,Deltaproteobacteria,0,0,0
bacteria15291,Firmicutes,2,2,4
bacteria15310,Firmicutes,1,1,2
bacteria15437,Spirochaetes,0,0,1
bacteria15457,Firmicutes,0,0,0
bacteria15458,Firmicutes,0,0,1
bacteria15465,Firmicutes,0,0,0
bacteria15477,Synergistaceae,0,0,0
bacteria15487,Lentisphaerae,0,0,0
bacteria15490,Firmicutes,0,0,0
bacteria15495,Synergistaceae,0,0,0
bacteria15534,Firmicutes,0,0,0
bacteria15553,Synergistaceae,0,0,0
bacteria15559,Firmicutes,0,0,1
bacteria15587,Firmicutes,0,0,1
bacteria15609,Firmicutes,0,0,1
bacteria15632,Firmicutes,0,0,1
bacteria15636,Chloroflexi,1,1,1
bacteria15646,Deltaproteobacteria,1,1,1
bacteria15651,Spirochaetes,0,0,0
bacteria15658,Firmicutes,0,0,1
bacteria15664,Firmicutes,2,1,3
bacteria15672,Firmicutes,2,2,4
bacteria15722,Firmicutes,1,1,2
bacteria15783,Firmicutes,0,0,2
bacteria15803,Bacteroidetes,0,0,0
bacteria15853,Deltaproteobacteria,0,0,0
bacteria15873,Firmicutes,1,1,1
bacteria15885,Deltaproteobacteria,0,0,0
bacteria15886,Spirochaetes,0,0,0
bacteria15893,Deltaproteobacteria,1,1,1
bacteria15898,Deltaproteobacteria,1,0,2
bacteria15914,Deltaproteobacteria,0,0,0
bacteria15920,Deltaproteobacteria,0,0,0
bacteria15924,Deltaproteobacteria,0,0,0
bacteria15970,Deltaproteobacteria,1,1,2
bacteria16029,Deltaproteobacteria,0,0,0
bacteria16068,Firmicutes,0,0,0
bacteria16099,Deltaproteobacteria,0,0,1
bacteria16125,Deltaproteobacteria,0,0,1
bacteria16132,Firmicutes,0,0,1
bacteria16150,Deltaproteobacteria,0,0,1
bacteria16176,Deltaproteobacteria,1,1,2
bacteria16238,Spirochaetes,0,0,0
bacteria16256,Firmicutes,0,0,1
bacteria16275,Firmicutes,0,0,1
bacteria16369,Synergistaceae,0,0,0
bacteria16379,Deltaproteobacteria,0,0,0
bacteria16382,Firmicutes,1,1,1
bacteria16593,Deltaproteobacteria,0,0,0
bacteria16738,Chloroflexi,1,1,1
bacteria17013,Firmicutes,0,1,1
bacteria17128,Deltaproteobacteria,1,1,1
bacteria17162,Deltaproteobacteria,1,1,1
bacteria17275,Nitrospirae,1,1,1
bacteria17323,Firmicutes,0,0,0
bacteria17335,Deltaproteobacteria,0,0,0
bacteria17348,Deltaproteobacteria,0,1,2
bacteria17349,Firmicutes,0,0,1
bacteria17529,Firmicutes,0,1,1
bacteria17632,Deltaproteobacteria,0,0,1
bacteria17822,Deltaproteobacteria,0,0,0
bacteria17823,Actinobacteria,0,0,0
bacteria17870,Deltaproteobacteria,0,0,0
bacteria18037,Firmicutes,0,0,0
bacteria18042,Deltaproteobacteria,0,0,0
bacteria19726,Firmicutes,0,0,0
bacteria20068,Actinobacteria,1,0,1
bacteria20100,Actinobacteria,0,0,1
bacteria20231,Deltaproteobacteria,0,0,0
bacteria20275,Acidobacteria,0,0,0
bacteria20292,Deltaproteobacteria,0,0,0
bacteria20309,Deltaproteobacteria,0,0,0
bacteria20316,Deltaproteobacteria,0,0,0
bacteria20330,Deltaproteobacteria,0,0,0
bacteria20361,Deltaproteobacteria,0,0,0
bacteria20400,Deltaproteobacteria,0,0,0
bacteria20431,Phycisphaerales,0,0,0
bacteria20436,Bacteroidetes,0,0,0
bacteria20440,Bacteroidetes,0,0,0
bacteria20442,Bacteroidetes,0,0,0
bacteria20443,Aminicenantes,0,0,0
bacteria20444,Bacteroidetes,0,0,0
bacteria20445,Bacteroidetes,0,0,0
bacteria20451,Bacteroidetes,0,0,0
bacteria20453,Bacteroidetes,0,0,0
bacteria20454,Spirochaetes,0,0,0
bacteria20458,Bacteroidetes,0,0,0
bacteria20475,Bacteroidetes,0,0,0
bacteria20477,Deltaproteobacteria,1,1,1
bacteria20480,Acidobacteria,1,0,1
bacteria20486,Chlorobi,0,0,0
bacteria20489,Deltaproteobacteria,0,0,0
bacteria20491,Chlorobi,0,0,0
bacteria20494,Deltaproteobacteria,1,1,1
bacteria20497,Chlorobi,0,0,0
bacteria20503,Deltaproteobacteria,0,0,0
bacteria20505,Deltaproteobacteria,0,0,0
bacteria20569,Deltaproteobacteria,0,0,0
bacteria20615,Deltaproteobacteria,0,0,0
bacteria20622,Chlorobi,0,0,1
bacteria20625,Bacteroidetes,0,0,0
bacteria20631,Chloroflexi,1,1,0
bacteria20664,Aminicenantes,0,0,0
bacteria20666,Deltaproteobacteria,1,1,1
bacteria20667,Chlorobi,0,0,0
bacteria20671,Elusimicrobia,0,0,0
bacteria20672,Chloroflexi,0,0,1
bacteria20675,Deltaproteobacteria,0,0,1
bacteria20678,Deltaproteobacteria,0,0,0
bacteria20685,Aminicenantes,0,0,0
bacteria20689,Actinobacteria,0,0,0
bacteria20692,Chloroflexi,1,1,0
bacteria20693,Actinobacteria,0,0,0
bacteria20695,Elusimicrobia,0,0,0
bacteria20697,Spirochaetes,0,0,0
bacteria20699,Chloroflexi,1,2,1
bacteria20700,Deltaproteobacteria,0,0,0
bacteria20701,Actinobacteria,0,1,2
bacteria20706,Chloroflexi,1,1,0
bacteria20707,Bacteroidetes,0,0,0
bacteria20733,Actinobacteria,0,0,0
bacteria20738,Deltaproteobacteria,0,1,0
bacteria20742,Chloroflexi,1,1,1
bacteria20744,Chlorobi,0,0,0
bacteria20745,Chlorobi,1,0,1
bacteria20749,Deltaproteobacteria,0,0,0
bacteria20752,Bacteroidetes,0,0,0
bacteria20754,Bacteroidetes,0,0,0
bacteria20803,Nitrospirae,1,0,0
bacteria20804,Nitrospirae,0,1,1
bacteria20809,Bacteroidetes,0,0,0
bacteria20812,Bacteroidetes,0,0,0
bacteria20819,Actinobacteria,0,0,0
bacteria20828,Chlorobi,0,0,0
bacteria20830,Actinobacteria,0,0,0
bacteria20841,Deltaproteobacteria,0,0,0
bacteria20842,Acidobacteria,0,0,0
bacteria20845,Chlorobi,0,0,0
bacteria20867,Chloroflexi,0,0,0
bacteria20869,Deltaproteobacteria,0,0,0
bacteria20871,Chloroflexi,1,1,0
bacteria20876,Chlorobi,0,0,0
bacteria20880,Nitrospirae,1,0,2
bacteria20885,Deltaproteobacteria,0,0,0
bacteria20888,Deltaproteobacteria,0,0,0
bacteria20889,Chloroflexi,1,1,1
bacteria20898,Deltaproteobacteria,0,0,0
bacteria20901,Deltaproteobacteria,0,0,0
bacteria20914,FCPU426,0,0,0
bacteria20931,Deltaproteobacteria,0,0,0
bacteria21013,Nitrospirae,0,1,1
bacteria21019,Bacteroidetes,0,0,0
bacteria21020,Chlorobi,0,0,0
bacteria21037,Chloroflexi,1,1,2
bacteria21049,Bacteroidetes,0,0,0
bacteria21052,Chlorobi,0,0,0
bacteria21102,Deltaproteobacteria,0,0,0
bacteria21130,Fibrobacteres,0,0,0
bacteria21162,Deltaproteobacteria,0,0,0
bacteria21165,Deltaproteobacteria,1,1,1
bacteria21170,Deltaproteobacteria,1,1,1
bacteria21187,Fibrobacteres,1,1,1
bacteria21197,Deltaproteobacteria,0,0,0
bacteria21230,Deltaproteobacteria,0,0,0
bacteria21278,FCPU426,0,0,0
bacteria21335,Deltaproteobacteria,0,0,0
bacteria21351,Deltaproteobacteria,0,0,0
bacteria21399,Nitrospirae,0,0,1
bacteria21401,Deltaproteobacteria,0,0,0
bacteria21402,Acidobacteria,0,0,0
bacteria21447,Deltaproteobacteria,1,1,1
bacteria21452,Acidobacteria,0,0,0
bacteria22278,Deltaproteobacteria,0,0,1
bacteria22395,Firmicutes,0,0,0
bacteria22396,Firmicutes,0,0,0
bacteria22930,Deltaproteobacteria,0,0,2
bacteria23257,none,1,0,1
bacteria23258,Bacteroidetes,0,0,0
bacteria23259,Chloroflexi,1,1,1
bacteria23260,Deltaproteobacteria,0,0,0
bacteria23263,Deltaproteobacteria,1,1,2
bacteria23264,Aminicenantes,0,0,0
bacteria23265,Deltaproteobacteria,1,0,1
bacteria23266,Firmicutes,1,1,2
bacteria23267,Deltaproteobacteria,0,1,0
bacteria23268,Deltaproteobacteria,0,0,0
bacteria23269,DPANN,1,0,0
bacteria23270,Deltaproteobacteria,0,2,1
bacteria23272,Deltaproteobacteria,0,0,3
bacteria23273,none,1,1,1
bacteria23274,Lentisphaerae,0,1,1
bacteria23275,Lentisphaerae,1,1,1
bacteria23276,Bacteroidetes,0,0,0
bacteria23277,Deltaproteobacteria,0,0,0
bacteria23278,Margulisbacteria,0,0,0
bacteria23279,Actinobacteria,0,0,0
bacteria23280,Firmicutes,0,0,0
bacteria23281,Bacteroidetes,0,0,0
bacteria23282,Deltaproteobacteria,1,0,1
bacteria23283,Lentisphaerae,0,0,0
bacteria23284,Lentisphaerae,0,0,0
bacteria23285,Lentisphaerae,0,0,0
bacteria23286,Lentisphaerae,0,0,0
bacteria23287,Lentisphaerae,0,0,0
bacteria23288,Firmicutes,0,0,0
bacteria23289,Firmicutes,0,0,1
bacteria23290,Deltaproteobacteria,1,0,0
bacteria23291,Firmicutes,0,0,0
bacteria23292,Lentisphaerae,0,0,0
bacteria23293,Betaproteobacteria,0,0,0
bacteria23294,Lentisphaerae,1,1,1
bacteria23296,Firestonebacteria,0,0,0
bacteria23297,Firmicutes,1,0,1
bacteria23298,Margulisbacteria,0,0,0
bacteria23299,Lentisphaerae,1,1,1
bacteria23300,Deltaproteobacteria,0,0,0
bacteria23301,Lentisphaerae,1,1,1
bacteria23302,Lentisphaerae,0,0,0
bacteria23303,Lentisphaerae,0,0,0
bacteria23304,Deltaproteobacteria,1,0,1
bacteria23305,Deltaproteobacteria,0,0,0
bacteria23306,Lentisphaerae,1,1,1
bacteria23307,Lentisphaerae,0,1,0
bacteria23308,Bacteroidetes,0,0,0
bacteria23309,Deltaproteobacteria,1,0,1
bacteria23311,Deltaproteobacteria,0,0,0
bacteria23313,Eisenbacteria,0,0,0
bacteria23314,Aminicenantes,0,0,0
bacteria23315,Aminicenantes,0,0,0
bacteria23316,Deltaproteobacteria,1,0,0
bacteria23317,Aminicenantes,0,0,0
bacteria23318,Deltaproteobacteria,0,0,1
