LABELS
SEPARATOR TAB
DATA
GCA_000011325.1	Corynebacterium glutamicum ATCC 13032
GCA_001920325.1�	Actinobacteria bacterium 13_1_20CM_3_68_9�
GCA_002897715.1	bacterium BMS3Abin01
GCA_002898855.1�	bacterium HR41
GCA_002919115.1	bacterium
GCA_003132585.1	Actinobacteria bacterium
GCA_003132645.1	Actinobacteria bacterium
GCA_003132665.1	Actinobacteria bacterium
GCA_003134505.1	Actinobacteria bacterium
GCA_003136795.1	Actinobacteria bacterium
GCA_003139545.1	Actinobacteria bacterium
GCA_003139575.1	Actinobacteria bacterium
GCA_003152275.1	Actinobacteria bacterium
GCA_003157225.1	Actinobacteria bacterium
GCA_003157275.1	Actinobacteria bacterium
GCA_003157415.1	Actinobacteria bacterium
GCA_003157435.1	Actinobacteria bacterium
GCA_003157595.1	Solirubrobacterales bacterium
GCA_003157715.1	Actinobacteria bacterium
GCA_003158705.1	Actinobacteria bacterium
GCA_003159035.1	Actinobacteria bacterium
GCA_003161615.1	Actinobacteria bacterium
GCA_003162055.1	Actinobacteria bacterium
GCA_003162125.1	Actinobacteria bacterium
GCA_003162235.1	Actinobacteria bacterium
GCA_003162355.1	Actinobacteria bacterium
GCA_003164655.1	Actinobacteria bacterium
GCA_003170155.1	Actinobacteria bacterium
GCA_003170895.1	Actinobacteria bacterium
GCA_003170995.1	Actinobacteria bacterium
GCA_003351045.1�	Gaiella occulta
